# type = 2
# x0 = 0.1, y0 = 0, z0 = 0
# projection: horizontal = z, vertical = x
# z   x
2.516979 1.045577
2.520144 1.047116
2.523294 1.048653
2.526427 1.050188
2.529545 1.051721
2.532646 1.053253
2.535732 1.054782
2.538801 1.056311
2.541855 1.057837
2.544893 1.059362
2.547914 1.060885
2.550920 1.062406
2.553910 1.063926
2.556884 1.065444
2.559842 1.066960
2.562784 1.068475
2.565710 1.069988
2.568621 1.071499
2.571516 1.073009
2.574394 1.074517
2.577257 1.076023
2.580104 1.077528
2.582936 1.079031
2.585751 1.080532
2.588551 1.082032
2.591335 1.083530
2.594103 1.085027
2.596856 1.086521
2.599593 1.088015
2.602314 1.089506
2.605019 1.090996
2.607709 1.092484
2.610383 1.093971
2.613041 1.095456
2.615684 1.096940
2.618310 1.098422
2.620922 1.099902
2.623517 1.101381
2.626098 1.102858
2.628662 1.104333
2.631211 1.105807
2.633744 1.107280
2.636262 1.108750
2.638764 1.110220
2.641251 1.111687
2.643722 1.113153
2.646177 1.114618
2.648617 1.116081
2.651041 1.117542
2.653450 1.119002
2.655844 1.120460
2.658222 1.121917
2.660585 1.123372
2.662932 1.124825
2.665263 1.126277
2.667579 1.127728
2.669880 1.129177
2.672166 1.130624
2.674436 1.132070
2.676690 1.133515
2.678930 1.134958
2.681153 1.136399
2.683362 1.137839
2.685555 1.139277
2.687733 1.140714
2.689895 1.142149
2.692043 1.143583
2.694175 1.145015
2.696291 1.146446
2.698393 1.147875
2.700479 1.149303
2.702550 1.150729
2.704605 1.152154
2.706646 1.153577
2.708671 1.154999
2.710681 1.156419
2.712676 1.157838
2.714655 1.159256
2.716620 1.160671
2.718569 1.162086
2.720503 1.163499
2.722422 1.164910
2.724326 1.166320
2.726214 1.167729
2.728088 1.169136
2.729947 1.170542
2.731790 1.171946
2.733618 1.173348
2.735432 1.174750
2.737230 1.176149
2.739013 1.177548
2.740781 1.178945
2.742535 1.180340
2.744273 1.181734
2.745996 1.183127
2.747704 1.184518
2.749398 1.185908
2.751076 1.187296
2.752739 1.188683
2.754388 1.190069
2.756021 1.191453
2.757640 1.192835
2.759243 1.194216
2.760832 1.195596
2.762406 1.196975
2.763965 1.198351
2.765509 1.199727
2.767039 1.201101
2.768553 1.202474
2.770053 1.203845
2.771538 1.205215
2.773008 1.206584
2.774463 1.207951
2.775904 1.209317
2.777330 1.210681
2.778741 1.212044
2.780137 1.213405
2.781519 1.214765
2.782886 1.216124
2.784238 1.217482
2.785575 1.218838
2.786898 1.220192
2.788206 1.221545
2.789500 1.222897
2.790778 1.224248
2.792043 1.225597
2.793292 1.226945
2.794527 1.228291
2.795748 1.229636
2.796953 1.230980
2.798144 1.232322
2.799321 1.233663
2.800483 1.235002
2.801631 1.236341
2.802764 1.237677
2.803882 1.239013
2.804986 1.240347
2.806076 1.241680
2.807151 1.243011
2.808211 1.244341
2.809257 1.245670
2.810289 1.246997
2.811306 1.248323
2.812309 1.249648
2.813298 1.250971
2.814272 1.252293
2.815231 1.253614
2.816176 1.254933
2.817107 1.256251
2.818024 1.257567
2.818926 1.258883
2.819814 1.260197
2.820687 1.261509
2.821547 1.262821
2.822392 1.264131
2.823222 1.265439
2.824039 1.266746
2.824841 1.268052
2.825629 1.269357
2.826402 1.270660
2.827162 1.271962
2.827907 1.273263
2.828638 1.274562
2.829355 1.275860
2.830058 1.277157
2.830746 1.278452
2.831421 1.279747
