# t  theta1(rad)  omega1(rad/s)  theta2(rad)  omega2(rad/s)  theta3(rad)  omega3(rad/s)  theta4(rad)  omega4(rad/s)  theta5(rad)  omega5(rad/s)  theta6(rad)  omega6(rad/s)
0.000000 0.499765 -0.047025 0.999587 -0.082541 1.499511 -0.097853 1.999554 -0.089208 2.499706 -0.058718 2.999931 -0.013846
0.010000 0.499060 -0.094009 0.998349 -0.165038 1.498043 -0.195699 1.998216 -0.178453 2.498825 -0.117482 2.999723 -0.027706
0.020000 0.497885 -0.140913 0.996287 -0.247448 1.495597 -0.293532 1.995985 -0.267770 2.497356 -0.176338 2.999377 -0.041592
0.030000 0.496242 -0.187695 0.993401 -0.329725 1.492172 -0.391342 1.992860 -0.357195 2.495298 -0.235332 2.998891 -0.055519
0.040000 0.494132 -0.234315 0.989693 -0.411826 1.487770 -0.489123 1.988840 -0.446764 2.492649 -0.294511 2.998266 -0.069500
0.050000 0.491556 -0.280732 0.985165 -0.493705 1.482390 -0.586863 1.983924 -0.536511 2.489407 -0.353920 2.997501 -0.083548
0.060000 0.488518 -0.326907 0.979820 -0.575317 1.476033 -0.684552 1.978109 -0.626468 2.485570 -0.413605 2.996595 -0.097677
0.070000 0.485019 -0.372799 0.973660 -0.656613 1.468699 -0.782178 1.971394 -0.716670 2.481134 -0.473611 2.995547 -0.111902
0.080000 0.481063 -0.418367 0.966689 -0.737548 1.460390 -0.879725 1.963775 -0.807145 2.476096 -0.533985 2.994356 -0.126234
0.090000 0.476653 -0.463572 0.958910 -0.818071 1.451105 -0.977177 1.955250 -0.897923 2.470453 -0.594770 2.993022 -0.140690
0.100000 0.471793 -0.508372 0.950329 -0.898134 1.440846 -1.074515 1.945816 -0.989032 2.464200 -0.656012 2.991542 -0.155282
0.110000 0.466487 -0.552728 0.940949 -0.977684 1.429615 -1.171715 1.935468 -1.080495 2.457331 -0.717756 2.989916 -0.170024
0.120000 0.460740 -0.596600 0.930777 -1.056669 1.417413 -1.268754 1.924204 -1.172337 2.449843 -0.780045 2.988141 -0.184931
0.130000 0.454557 -0.639947 0.919818 -1.135034 1.404241 -1.365602 1.912020 -1.264576 2.441728 -0.842924 2.986217 -0.200018
0.140000 0.447943 -0.682731 0.908078 -1.212725 1.390101 -1.462227 1.898911 -1.357230 2.432982 -0.906435 2.984140 -0.215299
0.150000 0.440904 -0.724911 0.895566 -1.289684 1.374997 -1.558595 1.884874 -1.450313 2.423597 -0.970621 2.981910 -0.230788
0.160000 0.433447 -0.766448 0.882287 -1.365852 1.358931 -1.654665 1.869904 -1.543835 2.413567 -1.035524 2.979524 -0.246500
0.170000 0.425577 -0.807302 0.868252 -1.441168 1.341905 -1.750393 1.853996 -1.637803 2.402884 -1.101185 2.976979 -0.262452
0.180000 0.417303 -0.847435 0.853467 -1.515571 1.323924 -1.845731 1.837146 -1.732220 2.391541 -1.167645 2.974274 -0.278657
0.190000 0.408631 -0.886808 0.837943 -1.588996 1.304992 -1.940626 1.819350 -1.827084 2.379529 -1.234943 2.971405 -0.295132
0.200000 0.399570 -0.925383 0.821691 -1.661378 1.285113 -2.035020 1.800603 -1.922388 2.366839 -1.303117 2.968370 -0.311892
0.210000 0.390126 -0.963122 0.804720 -1.732650 1.264293 -2.128852 1.780901 -2.018121 2.353463 -1.372205 2.965166 -0.328954
0.220000 0.380310 -0.999987 0.787042 -1.802744 1.242538 -2.222053 1.760239 -2.114267 2.339392 -1.442242 2.961790 -0.346333
0.230000 0.370130 -1.035941 0.768669 -1.871589 1.219855 -2.314551 1.738614 -2.210802 2.324615 -1.513262 2.958238 -0.364047
0.240000 0.359594 -1.070947 0.749614 -1.939114 1.196250 -2.406268 1.716022 -2.307700 2.309123 -1.585298 2.954508 -0.382112
0.250000 0.348714 -1.104970 0.729891 -2.005246 1.171732 -2.497120 1.692459 -2.404925 2.292906 -1.658380 2.950595 -0.400545
0.260000 0.337498 -1.137975 0.709514 -2.069913 1.146311 -2.587021 1.667923 -2.502435 2.275952 -1.732538 2.946496 -0.419364
0.270000 0.325958 -1.169926 0.688498 -2.133039 1.119995 -2.675876 1.642410 -2.600183 2.258251 -1.807797 2.942206 -0.438587
0.280000 0.314103 -1.200790 0.666859 -2.194549 1.092797 -2.763587 1.615918 -2.698112 2.239792 -1.884181 2.937723 -0.458231
0.290000 0.301946 -1.230534 0.644613 -2.254367 1.064728 -2.850050 1.588447 -2.796160 2.220564 -1.961712 2.933040 -0.478316
0.300000 0.289497 -1.259125 0.621777 -2.312418 1.035800 -2.935157 1.559995 -2.894257 2.200554 -2.040406 2.928155 -0.498859
0.310000 0.276767 -1.286533 0.598371 -2.368625 1.006029 -3.018797 1.530562 -2.992321 2.179752 -2.120279 2.923061 -0.519881
0.320000 0.263770 -1.312727 0.574411 -2.422912 0.975430 -3.100851 1.500149 -3.090267 2.158145 -2.201341 2.917755 -0.541401
0.330000 0.250517 -1.337677 0.549919 -2.475203 0.944018 -3.181198 1.468757 -3.187998 2.135721 -2.283600 2.912232 -0.563439
0.340000 0.237021 -1.361356 0.524914 -2.525425 0.911812 -3.259715 1.436390 -3.285410 2.112469 -2.367058 2.906485 -0.586015
0.350000 0.223294 -1.383738 0.499418 -2.573502 0.878830 -3.336274 1.403051 -3.382390 2.088376 -2.451712 2.900509 -0.609151
0.360000 0.209350 -1.404795 0.473451 -2.619364 0.845093 -3.410744 1.368744 -3.478814 2.063430 -2.537556 2.894300 -0.632866
0.370000 0.195203 -1.424505 0.447038 -2.662938 0.810623 -3.482993 1.333477 -3.574553 2.037621 -2.624577 2.887850 -0.657184
0.380000 0.180865 -1.442844 0.420201 -2.704158 0.775441 -3.552889 1.297256 -3.669467 2.010935 -2.712756 2.881154 -0.682125
0.390000 0.166350 -1.459791 0.392963 -2.742955 0.739573 -3.620295 1.260090 -3.763408 1.983362 -2.802068 2.874205 -0.707714
0.400000 0.151674 -1.475325 0.365350 -2.779267 0.703044 -3.685077 1.221991 -3.856219 1.954890 -2.892482 2.866998 -0.733972
0.410000 0.136849 -1.489429 0.337386 -2.813033 0.665881 -3.747102 1.182970 -3.947737 1.925509 -2.983958 2.859524 -0.760923
0.420000 0.121890 -1.502086 0.309098 -2.844195 0.628112 -3.806236 1.143041 -4.037790 1.895207 -3.076451 2.851777 -0.788591
0.430000 0.106812 -1.513280 0.280511 -2.872700 0.589766 -3.862349 1.102220 -4.126199 1.863976 -3.169905 2.843749 -0.817000
0.440000 0.091629 -1.522998 0.251653 -2.898496 0.550875 -3.915314 1.060524 -4.212779 1.831806 -3.264256 2.835434 -0.846176
0.450000 0.076357 -1.531229 0.222550 -2.921540 0.511471 -3.965007 1.017971 -4.297341 1.798689 -3.359434 2.826823 -0.876143
0.460000 0.061010 -1.537962 0.193231 -2.941788 0.471586 -4.011307 0.974584 -4.379688 1.764615 -3.455355 2.817909 -0.906927
0.470000 0.045603 -1.543189 0.163724 -2.959205 0.431256 -4.054103 0.930385 -4.459623 1.729579 -3.551928 2.808682 -0.938555
0.480000 0.030151 -1.546904 0.134057 -2.973758 0.390516 -4.093287 0.885400 -4.536944 1.693575 -3.649051 2.799135 -0.971053
0.490000 0.014670 -1.549103 0.104258 -2.985420 0.349403 -4.128758 0.839656 -4.611447 1.656597 -3.746611 2.789258 -1.004449
0.500000 -0.000826 -1.549782 0.074358 -2.994170 0.307954 -4.160424 0.793181 -4.682930 1.618642 -3.844486 2.779043 -1.038769
0.510000 -0.016321 -1.548941 0.044385 -2.999991 0.266208 -4.188202 0.746008 -4.751190 1.579706 -3.942540 2.768479 -1.074043
0.520000 -0.031800 -1.546580 0.014368 -3.002873 0.224203 -4.212016 0.698169 -4.816028 1.539791 -4.040628 2.757558 -1.110297
0.530000 -0.047247 -1.542704 -0.015663 -3.002809 0.181981 -4.231803 0.649700 -4.877246 1.498894 -4.138591 2.746270 -1.147561
0.540000 -0.062649 -1.537316 -0.045678 -2.999801 0.139581 -4.247508 0.600637 -4.934656 1.457020 -4.236263 2.734604 -1.185865
0.550000 -0.077989 -1.530423 -0.075649 -2.993853 0.097044 -4.259087 0.551020 -4.988072 1.414171 -4.333461 2.722549 -1.225236
