# t  x1  y1  x2  y2  x3  y3  x4  y4  x5  y5  x6  y6  x7  y7  x8  y8  x9  y9  x10  y10  x11  y11  x12  y12  x13  y13  x14  y14  x15  y15  x16  y16  x17  y17  x18  y18  x19  y19  x20  y20  x21  y21  x22  y22  x23  y23  x24  y24  x25  y25  x26  y26  x27  y27  x28  y28  x29  y29  x30  y30  x31  y31  x32  y32  x33  y33  x34  y34  x35  y35  x36  y36  x37  y37  x38  y38  x39  y39  x40  y40
0.000000 0.500000 0.000000 0.353553 0.353553 0.000000 0.500000 -0.353553 0.353553 -0.500000 0.000000 -0.353553 -0.353553 -0.000000 -0.500000 0.353553 -0.353553 0.900000 0.000000 0.636396 0.636396 0.000000 0.900000 -0.636396 0.636396 -0.900000 0.000000 -0.636396 -0.636396 -0.000000 -0.900000 0.636396 -0.636396 1.000000 0.000000 0.707107 0.707107 0.000000 1.000000 -0.707107 0.707107 -1.000000 0.000000 -0.707107 -0.707107 -0.000000 -1.000000 0.707107 -0.707107 1.100000 0.000000 0.777817 0.777817 0.000000 1.100000 -0.777817 0.777817 -1.100000 0.000000 -0.777817 -0.777817 -0.000000 -1.100000 0.777817 -0.777817 1.500000 0.000000 1.060660 1.060660 0.000000 1.500000 -1.060660 1.060660 -1.500000 0.000000 -1.060660 -1.060660 -0.000000 -1.500000 1.060660 -1.060660
0.010000 0.501382 -0.005014 0.358076 0.350986 0.005014 0.501382 -0.350986 0.358076 -0.501382 0.005014 -0.358076 -0.350986 -0.005014 -0.501382 0.350986 -0.358076 0.900247 -0.009003 0.642936 0.630205 0.009003 0.900247 -0.630205 0.642936 -0.900247 0.009003 -0.642936 -0.630205 -0.009003 -0.900247 0.630205 -0.642936 0.999950 -0.010000 0.714142 0.700000 0.010000 0.999950 -0.700000 0.714142 -0.999950 0.010000 -0.714142 -0.700000 -0.010000 -0.999950 0.700000 -0.714142 1.100482 -0.011005 0.785940 0.770376 0.011005 1.100482 -0.770376 0.785940 -1.100482 0.011005 -0.785940 -0.770376 -0.011005 -1.100482 0.770376 -0.785940 1.539424 -0.015395 1.099423 1.077651 0.015395 1.539424 -1.077651 1.099423 -1.539424 0.015395 -1.099423 -1.077651 -0.015395 -1.539424 1.077651 -1.099423
0.020000 0.502717 -0.010056 0.362585 0.348364 0.010056 0.502717 -0.348364 0.362585 -0.502717 0.010056 -0.362585 -0.348364 -0.010056 -0.502717 0.348364 -0.362585 0.900402 -0.018010 0.649416 0.623945 0.018010 0.900402 -0.623945 0.649416 -0.900402 0.018010 -0.649416 -0.623945 -0.018010 -0.900402 0.623945 -0.649416 0.999800 -0.019999 0.721107 0.692824 0.019999 0.999800 -0.692824 0.721107 -0.999800 0.019999 -0.721107 -0.692824 -0.019999 -0.999800 0.692824 -0.721107 1.100860 -0.022020 0.793996 0.762855 0.022020 1.100860 -0.762855 0.793996 -1.100860 0.022020 -0.793996 -0.762855 -0.022020 -1.100860 0.762855 -0.793996 1.590442 -0.031813 1.147107 1.102117 0.031813 1.590442 -1.102117 1.147107 -1.590442 0.031813 -1.147107 -1.102117 -0.031813 -1.590442 1.102117 -1.147107
0.030000 0.504004 -0.015125 0.367079 0.345690 0.015125 0.504004 -0.345690 0.367079 -0.504004 0.015125 -0.367079 -0.345690 -0.015125 -0.504004 0.345690 -0.367079 0.900465 -0.027022 0.655833 0.617618 0.027022 0.900465 -0.617618 0.655833 -0.900465 0.027022 -0.655833 -0.617618 -0.027022 -0.900465 0.617618 -0.655833 0.999550 -0.029996 0.727999 0.685579 0.029996 0.999550 -0.685579 0.727999 -0.999550 0.029996 -0.727999 -0.685579 -0.029996 -0.999550 0.685579 -0.727999 1.101135 -0.033044 0.801986 0.755254 0.033044 1.101135 -0.755254 0.801986 -1.101135 0.033044 -0.801986 -0.755254 -0.033044 -1.101135 0.755254 -0.801986 1.661069 -0.049847 1.209800 1.139306 0.049847 1.661069 -1.139306 1.209800 -1.661069 0.049847 -1.209800 -1.139306 -0.049847 -1.661069 1.139306 -1.209800
0.040000 0.505241 -0.020220 0.371558 0.342961 0.020220 0.505241 -0.342961 0.371558 -0.505241 0.020220 -0.371558 -0.342961 -0.020220 -0.505241 0.342961 -0.371558 0.900437 -0.036037 0.662187 0.611224 0.036037 0.900437 -0.611224 0.662187 -0.900437 0.036037 -0.662187 -0.611224 -0.036037 -0.900437 0.611224 -0.662187 0.999200 -0.039989 0.734818 0.678264 0.039989 0.999200 -0.678264 0.734818 -0.999200 0.039989 -0.734818 -0.678264 -0.039989 -0.999200 0.678264 -0.734818 1.101306 -0.044076 0.809907 0.747575 0.044076 1.101306 -0.747575 0.809907 -1.101306 0.044076 -0.809907 -0.747575 -0.044076 -1.101306 0.747575 -0.809907 1.770755 -0.070868 1.302224 1.202002 0.070868 1.770755 -1.202002 1.302224 -1.770755 0.070868 -1.302224 -1.202002 -0.070868 -1.770755 1.202002 -1.302224
0.050000 0.506430 -0.025343 0.376020 0.340180 0.025343 0.506430 -0.340180 0.376020 -0.506430 0.025343 -0.376020 -0.340180 -0.025343 -0.506430 0.340180 -0.376020 0.900318 -0.045053 0.668478 0.604763 0.045053 0.900318 -0.604763 0.668478 -0.900318 0.045053 -0.668478 -0.604763 -0.045053 -0.900318 0.604763 -0.668478 0.998750 -0.049979 0.741564 0.670882 0.049979 0.998750 -0.670882 0.741564 -0.998750 0.049979 -0.741564 -0.670882 -0.049979 -0.998750 0.670882 -0.741564 1.101374 -0.055115 0.817761 0.739817 0.055115 1.101374 -0.739817 0.817761 -1.101374 0.055115 -0.817761 -0.739817 -0.055115 -1.101374 0.739817 -0.817761 1.989639 -0.099563 1.477289 1.336485 0.099563 1.989639 -1.336485 1.477289 -1.989639 0.099563 -1.477289 -1.336485 -0.099563 -1.989639 1.336485 -1.477289
0.060000 0.507569 -0.030491 0.380465 0.337345 0.030491 0.507569 -0.337345 0.380465 -0.507569 0.030491 -0.380465 -0.337345 -0.030491 -0.507569 0.337345 -0.380465 0.900106 -0.054071 0.674706 0.598237 0.054071 0.900106 -0.598237 0.674706 -0.900106 0.054071 -0.674706 -0.598237 -0.054071 -0.900106 0.598237 -0.674706 0.998201 -0.059964 0.748235 0.663433 0.059964 0.998201 -0.663433 0.748235 -0.998201 0.059964 -0.748235 -0.663433 -0.059964 -0.998201 0.663433 -0.748235 1.101338 -0.066160 0.825545 0.731981 0.066160 1.101338 -0.731981 0.825545 -1.101338 0.066160 -0.825545 -0.731981 -0.066160 -1.101338 0.731981 -0.825545 3.563449 -0.213590 2.670770 2.368708 0.213590 3.563449 -2.368708 2.670770 -3.563449 0.213590 -2.670770 -2.368708 -0.213590 -3.563449 2.368708 -2.670770
0.070000 0.508657 -0.035664 0.384894 0.334457 0.035664 0.508657 -0.334457 0.384894 -0.508657 0.035664 -0.384894 -0.334457 -0.035664 -0.508657 0.334457 -0.384894 0.899803 -0.063089 0.680868 0.591646 0.063089 0.899803 -0.591646 0.680868 -0.899803 0.063089 -0.680868 -0.591646 -0.063089 -0.899803 0.591646 -0.680868 0.997551 -0.069943 0.754832 0.655918 0.069943 0.997551 -0.655918 0.754832 -0.997551 0.069943 -0.754832 -0.655918 -0.069943 -0.997551 0.655918 -0.754832 1.101198 -0.077210 0.833261 0.724069 0.077210 1.101198 -0.724069 0.833261 -1.101198 0.077210 -0.833261 -0.724069 -0.077210 -1.101198 0.724069 -0.833261 1098168741413809464789290172915932165725680543771035010324614770558578980855196013541911709523974849385467416310228492427560239887521153024.000000 -67418938885910131368981225633491562826321573192712424813437319182227406265265679680732997195512724672995030449232969062438704072085209088.000000 824194952821513205846221306854050744330093697913922106890245706511535317214527719827257645269134757482424579035779708008202369219728244736.000000 728850175086627500548023483434327938249084239865218145383470630343869048763783730934470655814849704396234184102296829666592192100846010368.000000 67418938885857319194474592179015919967415767593858633670562375902942993620105710355567508759400159166229745070304441970765517440350683136.000000 1098168741412947943597964281429348082100486834913378641921541571059546262312754644194482986762528171546961857365250869180488628195811131392.000000 -728850175079340928500036869471305582776879516982329576214911470069151596836772183799844509466573328175511117410653649583144869006017560576.000000 824194952813274300043196241003163285867254264251780742225291128605285918116823981849631687888278968055411797511902966834931496849342726144.000000 -1098168741412947943597964281429348082100486834913378641921541571059546262312754644194482986762528171546961857365250869180488628195811131392.000000 67418938885857381168471666264822071709475895666143617583501403804307301555930267331110437163588830277718223793612396432441644786290524160.000000 -824194952813274300043196241003163285867254264251780742225291128605285918116823981849631687888278968055411797511902966834931496849342726144.000000 -728850175079340928500036869471305582776879516982329576214911470069151596836772183799844509466573328175511117410653649583144869006017560576.000000 -67418938885863568239179562497802887291812014882594511558581022623844043815748538722812789515091162907984683003856516856441691489284653056.000000 -1098168741413047432521267213843490345354345766954872816826327695383048601956443442266064051620074862523133034515620431657898394211235921920.000000 728850175062187600325879202482476677395804661751722195849598189385696298153693674426672989048346634097067470306196534966815053520979361792.000000 -824194952793877595806952766612716186898956696401135692017753189069035753165882367123175840379076266242689671623904945491693261469979246592.000000
0.080000 0.509696 -0.040863 0.389304 0.331515 0.040863 0.509696 -0.331515 0.389304 -0.509696 0.040863 -0.389304 -0.331515 -0.040863 -0.509696 0.331515 -0.389304 0.899408 -0.072107 0.686965 0.584991 0.072107 0.899408 -0.584991 0.686965 -0.899408 0.072107 -0.686965 -0.584991 -0.072107 -0.899408 0.584991 -0.686965 0.996802 -0.079915 0.761353 0.648337 0.079915 0.996802 -0.648337 0.761353 -0.996802 0.079915 -0.761353 -0.648337 -0.079915 -0.996802 0.648337 -0.761353 1.100955 -0.088265 0.840906 0.716080 0.088265 1.100955 -0.716080 0.840906 -1.100955 0.088265 -0.840906 -0.716080 -0.088265 -1.100955 0.716080 -0.840906 1098168741413809464789290172915932165725680543771035010324614770558578980855196013541911709523974849385467416310228492427560239887521153024.000000 -67418938885910131368981225633491562826321573192712424813437319182227406265265679680732997195512724672995030449232969062438704072085209088.000000 824194952821513205846221306854050744330093697913922106890245706511535317214527719827257645269134757482424579035779708008202369219728244736.000000 728850175086627500548023483434327938249084239865218145383470630343869048763783730934470655814849704396234184102296829666592192100846010368.000000 67418938885857319194474592179015919967415767593858633670562375902942993620105710355567508759400159166229745070304441970765517440350683136.000000 1098168741412947943597964281429348082100486834913378641921541571059546262312754644194482986762528171546961857365250869180488628195811131392.000000 -728850175079340928500036869471305582776879516982329576214911470069151596836772183799844509466573328175511117410653649583144869006017560576.000000 824194952813274300043196241003163285867254264251780742225291128605285918116823981849631687888278968055411797511902966834931496849342726144.000000 -1098168741412947943597964281429348082100486834913378641921541571059546262312754644194482986762528171546961857365250869180488628195811131392.000000 67418938885857381168471666264822071709475895666143617583501403804307301555930267331110437163588830277718223793612396432441644786290524160.000000 -824194952813274300043196241003163285867254264251780742225291128605285918116823981849631687888278968055411797511902966834931496849342726144.000000 -728850175079340928500036869471305582776879516982329576214911470069151596836772183799844509466573328175511117410653649583144869006017560576.000000 -67418938885863568239179562497802887291812014882594511558581022623844043815748538722812789515091162907984683003856516856441691489284653056.000000 -1098168741413047432521267213843490345354345766954872816826327695383048601956443442266064051620074862523133034515620431657898394211235921920.000000 728850175062187600325879202482476677395804661751722195849598189385696298153693674426672989048346634097067470306196534966815053520979361792.000000 -824194952793877595806952766612716186898956696401135692017753189069035753165882367123175840379076266242689671623904945491693261469979246592.000000
0.090000 0.510683 -0.046086 0.393695 0.328520 0.046086 0.510683 -0.328520 0.393695 -0.510683 0.046086 -0.393695 -0.328520 -0.046086 -0.510683 0.328520 -0.393695 0.898922 -0.081122 0.692996 0.578272 0.081122 0.898922 -0.578272 0.692996 -0.898922 0.081122 -0.692996 -0.578272 -0.081122 -0.898922 0.578272 -0.692996 0.995953 -0.089879 0.767799 0.640691 0.089879 0.995953 -0.640691 0.767799 -0.995953 0.089879 -0.767799 -0.640691 -0.089879 -0.995953 0.640691 -0.767799 1.100609 -0.099323 0.848480 0.708016 0.099323 1.100609 -0.708016 0.848480 -1.100609 0.099323 -0.848480 -0.708016 -0.099323 -1.100609 0.708016 -0.848480 1098168741413809464789290172915932165725680543771035010324614770558578980855196013541911709523974849385467416310228492427560239887521153024.000000 -67418938885910131368981225633491562826321573192712424813437319182227406265265679680732997195512724672995030449232969062438704072085209088.000000 824194952821513205846221306854050744330093697913922106890245706511535317214527719827257645269134757482424579035779708008202369219728244736.000000 728850175086627500548023483434327938249084239865218145383470630343869048763783730934470655814849704396234184102296829666592192100846010368.000000 67418938885857319194474592179015919967415767593858633670562375902942993620105710355567508759400159166229745070304441970765517440350683136.000000 1098168741412947943597964281429348082100486834913378641921541571059546262312754644194482986762528171546961857365250869180488628195811131392.000000 -728850175079340928500036869471305582776879516982329576214911470069151596836772183799844509466573328175511117410653649583144869006017560576.000000 824194952813274300043196241003163285867254264251780742225291128605285918116823981849631687888278968055411797511902966834931496849342726144.000000 -1098168741412947943597964281429348082100486834913378641921541571059546262312754644194482986762528171546961857365250869180488628195811131392.000000 67418938885857381168471666264822071709475895666143617583501403804307301555930267331110437163588830277718223793612396432441644786290524160.000000 -824194952813274300043196241003163285867254264251780742225291128605285918116823981849631687888278968055411797511902966834931496849342726144.000000 -728850175079340928500036869471305582776879516982329576214911470069151596836772183799844509466573328175511117410653649583144869006017560576.000000 -67418938885863568239179562497802887291812014882594511558581022623844043815748538722812789515091162907984683003856516856441691489284653056.000000 -1098168741413047432521267213843490345354345766954872816826327695383048601956443442266064051620074862523133034515620431657898394211235921920.000000 728850175062187600325879202482476677395804661751722195849598189385696298153693674426672989048346634097067470306196534966815053520979361792.000000 -824194952793877595806952766612716186898956696401135692017753189069035753165882367123175840379076266242689671623904945491693261469979246592.000000
