# type = 1
# x0 = 0.1, y0 = 0, z0 = 0
# projection: horizontal = z, vertical = x
# z   x
2.516858 1.045501
2.520031 1.047035
2.523188 1.048568
2.526329 1.050099
2.529454 1.051628
2.532564 1.053156
2.535658 1.054681
2.538736 1.056205
2.541798 1.057727
2.544845 1.059247
2.547876 1.060765
2.550892 1.062282
2.553892 1.063796
2.556876 1.065309
2.559845 1.066820
2.562798 1.068329
2.565735 1.069837
2.568657 1.071342
2.571563 1.072846
2.574454 1.074348
2.577330 1.075848
2.580189 1.077347
2.583034 1.078844
2.585862 1.080339
2.588676 1.081832
2.591473 1.083323
2.594256 1.084813
2.597023 1.086301
2.599774 1.087787
2.602510 1.089272
2.605231 1.090754
2.607936 1.092235
2.610626 1.093715
2.613300 1.095192
2.615959 1.096668
2.618603 1.098142
2.621232 1.099614
2.623845 1.101085
2.626442 1.102554
2.629025 1.104021
2.631592 1.105487
2.634144 1.106950
2.636681 1.108412
2.639202 1.109873
2.641709 1.111332
2.644200 1.112789
2.646675 1.114244
2.649136 1.115698
2.651581 1.117150
2.654012 1.118600
2.656427 1.120049
2.658827 1.121496
2.661211 1.122941
2.663581 1.124385
2.665936 1.125827
2.668275 1.127267
2.670600 1.128706
2.672909 1.130143
2.675203 1.131578
2.677482 1.133012
2.679747 1.134444
2.681996 1.135874
2.684230 1.137303
2.686449 1.138731
2.688653 1.140156
2.690843 1.141580
2.693017 1.143002
2.695176 1.144423
2.697320 1.145842
2.699450 1.147260
2.701564 1.148676
2.703664 1.150090
2.705749 1.151503
2.707819 1.152914
2.709874 1.154323
2.711914 1.155731
2.713939 1.157137
2.715950 1.158542
2.717946 1.159945
2.719927 1.161347
2.721893 1.162747
2.723844 1.164145
2.725781 1.165542
2.727703 1.166937
2.729610 1.168331
2.731502 1.169723
2.733380 1.171114
2.735243 1.172503
2.737091 1.173890
2.738925 1.175276
2.740744 1.176660
2.742548 1.178043
2.744338 1.179424
2.746113 1.180804
2.747874 1.182182
2.749620 1.183558
2.751351 1.184933
2.753068 1.186307
2.754770 1.187679
2.756457 1.189049
2.758131 1.190418
2.759789 1.191785
2.761433 1.193151
2.763063 1.194515
2.764678 1.195878
2.766279 1.197240
2.767865 1.198599
2.769436 1.199957
2.770994 1.201314
2.772537 1.202669
2.774065 1.204023
2.775579 1.205375
2.777079 1.206726
2.778564 1.208075
2.780035 1.209423
2.781492 1.210769
2.782934 1.212114
2.784362 1.213457
2.785776 1.214799
2.787175 1.216139
2.788560 1.217478
2.789931 1.218815
2.791288 1.220151
2.792630 1.221485
2.793958 1.222818
2.795272 1.224149
2.796572 1.225479
2.797858 1.226807
2.799129 1.228134
2.800386 1.229459
2.801629 1.230783
2.802858 1.232106
2.804073 1.233427
2.805273 1.234747
2.806460 1.236065
2.807632 1.237381
2.808791 1.238697
2.809935 1.240010
2.811065 1.241323
2.812182 1.242633
2.813284 1.243943
2.814372 1.245251
2.815446 1.246557
2.816506 1.247862
2.817553 1.249166
2.818585 1.250468
2.819603 1.251769
2.820608 1.253068
2.821598 1.254366
2.822575 1.255662
2.823537 1.256957
2.824486 1.258251
2.825421 1.259543
2.826342 1.260834
2.827250 1.262123
2.828143 1.263411
2.829023 1.264697
2.829888 1.265982
2.830740 1.267266
2.831579 1.268548
2.832403 1.269828
2.833214 1.271108
2.834011 1.272386
2.834794 1.273662
2.835564 1.274937
2.836319 1.276211
2.837062 1.277483
2.837790 1.278754
2.838505 1.280023
2.839206 1.281291
2.839894 1.282558
2.840567 1.283823
2.841228 1.285087
2.841875 1.286349
2.842508 1.287610
2.843127 1.288870
2.843733 1.290128
2.844326 1.291385
2.844905 1.292640
2.845470 1.293894
2.846022 1.295147
2.846561 1.296398
2.847086 1.297648
2.847597 1.298896
2.848095 1.300143
2.848580 1.301389
2.849051 1.302633
2.849509 1.303876
2.849954 1.305118
2.850385 1.306358
2.850802 1.307597
2.851207 1.308834
2.851598 1.310070
2.851975 1.311305
2.852340 1.312538
2.852691 1.313770
2.853029 1.315000
2.853353 1.316229
2.853665 1.317457
2.853963 1.318683
2.854247 1.319908
2.854519 1.321132
2.854777 1.322354
2.855023 1.323575
2.855255 1.324795
2.855473 1.326013
2.855679 1.327229
2.855872 1.328445
2.856051 1.329659
2.856218 1.330871
2.856371 1.332083
2.856511 1.333293
2.856638 1.334501
2.856752 1.335708
2.856853 1.336914
2.856941 1.338119
2.857016 1.339322
2.857078 1.340524
2.857127 1.341724
2.857163 1.342923
2.857186 1.344121
2.857197 1.345317
2.857194 1.346512
2.857178 1.347706
2.857150 1.348898
2.857108 1.350089
2.857054 1.351278
2.856987 1.352467
2.856907 1.353654
2.856814 1.354839
2.856708 1.356023
2.856590 1.357206
2.856458 1.358387
2.856314 1.359568
2.856158 1.360746
2.855988 1.361924
2.855806 1.363100
2.855611 1.364274
2.855403 1.365448
2.855183 1.366620
2.854950 1.367790
2.854704 1.368960
2.854446 1.370128
2.854175 1.371294
2.853891 1.372460
2.853595 1.373624
2.853286 1.374786
2.852965 1.375947
2.852631 1.377107
2.852285 1.378266
2.851926 1.379423
2.851554 1.380579
2.851170 1.381734
2.850774 1.382887
2.850365 1.384039
2.849944 1.385189
2.849510 1.386338
2.849063 1.387486
2.848605 1.388633
2.848134 1.389778
2.847650 1.390922
2.847155 1.392064
2.846646 1.393205
2.846126 1.394345
2.845593 1.395484
2.845048 1.396621
2.844491 1.397756
2.843921 1.398891
2.843339 1.400024
2.842745 1.401156
2.842138 1.402286
2.841520 1.403415
2.840889 1.404543
2.840246 1.405670
2.839590 1.406795
2.838923 1.407918
2.838243 1.409041
2.837552 1.410162
2.836848 1.411282
2.836132 1.412400
2.835404 1.413517
2.834664 1.414633
2.833912 1.415747
2.833148 1.416860
2.832371 1.417972
2.831583 1.419082
2.830783 1.420191
2.829971 1.421299
2.829147 1.422405
2.828311 1.423511
2.827463 1.424614
2.826603 1.425717
2.825731 1.426818
2.824847 1.427917
2.823951 1.429016
2.823044 1.430113
2.822125 1.431208
2.821194 1.432303
2.820251 1.433396
2.819296 1.434487
2.818329 1.435578
2.817351 1.436667
2.816361 1.437754
2.815359 1.438841
2.814346 1.439926
2.813320 1.441009
2.812284 1.442092
2.811235 1.443173
2.810175 1.444252
2.809103 1.445331
2.808019 1.446408
2.806924 1.447483
2.805817 1.448558
2.804699 1.449631
2.803569 1.450702
2.802428 1.451772
2.801275 1.452841
2.800110 1.453909
2.798935 1.454975
2.797747 1.456040
2.796548 1.457104
2.795338 1.458166
2.794116 1.459227
2.792883 1.460286
2.791638 1.461345
2.790382 1.462401
2.789115 1.463457
2.787836 1.464511
2.786546 1.465564
2.785244 1.466615
2.783932 1.467666
2.782608 1.468714
2.781272 1.469762
2.779926 1.470808
2.778568 1.471853
2.777199 1.472896
2.775818 1.473938
2.774427 1.474979
2.773024 1.476018
2.771610 1.477056
2.770185 1.478093
2.768749 1.479129
2.767302 1.480163
2.765844 1.481195
2.764374 1.482226
2.762894 1.483256
2.761402 1.484285
2.759900 1.485312
2.758386 1.486338
2.756862 1.487363
2.755326 1.488386
2.753779 1.489408
2.752222 1.490428
2.750654 1.491447
2.749074 1.492465
2.747484 1.493482
2.745883 1.494497
2.744271 1.495511
2.742648 1.496523
2.741014 1.497534
2.739370 1.498544
2.737714 1.499552
2.736048 1.500559
2.734371 1.501564
2.732683 1.502569
2.730985 1.503572
2.729276 1.504573
2.727556 1.505573
2.725826 1.506572
2.724084 1.507569
2.722333 1.508566
2.720570 1.509560
2.718797 1.510554
2.717013 1.511546
2.715219 1.512536
2.713414 1.513525
2.711599 1.514513
2.709773 1.515500
2.707936 1.516485
2.706089 1.517469
2.704232 1.518451
2.702364 1.519432
2.700486 1.520412
2.698597 1.521390
2.696698 1.522367
2.694788 1.523343
2.692868 1.524317
2.690938 1.525290
2.688997 1.526261
2.687046 1.527231
2.685085 1.528200
2.683113 1.529167
2.681131 1.530133
2.679139 1.531098
2.677137 1.532061
2.675124 1.533023
2.673101 1.533984
2.671068 1.534943
2.669025 1.535900
2.666971 1.536857
2.664908 1.537812
2.662834 1.538765
2.660751 1.539717
2.658657 1.540668
2.656553 1.541617
2.654439 1.542565
2.652315 1.543512
2.650181 1.544457
2.648037 1.545401
2.645883 1.546344
2.643719 1.547285
2.641545 1.548224
2.639361 1.549163
2.637168 1.550100
2.634964 1.551035
2.632751 1.551969
2.630527 1.552902
2.628294 1.553833
2.626051 1.554763
2.623799 1.555692
2.621536 1.556619
2.619264 1.557545
2.616982 1.558469
2.614690 1.559392
2.612388 1.560313
2.610077 1.561234
2.607756 1.562152
2.605426 1.563070
2.603085 1.563986
2.600736 1.564900
2.598376 1.565813
2.596007 1.566725
2.593629 1.567635
2.591241 1.568544
2.588843 1.569452
2.586436 1.570358
2.584019 1.571263
2.581593 1.572166
2.579157 1.573068
2.576712 1.573968
2.574258 1.574867
2.571794 1.575765
2.569321 1.576661
2.566838 1.577556
2.564346 1.578449
2.561845 1.579341
2.559335 1.580232
2.556815 1.581121
2.554286 1.582009
2.551747 1.582895
2.549200 1.583780
2.546643 1.584663
2.544077 1.585545
2.541501 1.586426
2.538917 1.587305
2.536324 1.588183
2.533721 1.589059
2.531109 1.589934
2.528488 1.590807
2.525858 1.591679
2.523219 1.592550
2.520571 1.593419
2.517914 1.594287
2.515248 1.595153
2.512573 1.596018
2.509890 1.596881
2.507197 1.597743
2.504495 1.598604
2.501784 1.599463
2.499065 1.600320
2.496336 1.601176
2.493599 1.602031
2.490853 1.602885
2.488098 1.603736
2.485335 1.604587
2.482562 1.605436
2.479781 1.606283
2.476991 1.607129
2.474192 1.607974
2.471385 1.608817
2.468569 1.609659
2.465745 1.610499
2.462911 1.611338
2.460070 1.612176
2.457219 1.613011
2.454360 1.613846
2.451493 1.614679
2.448617 1.615510
2.445732 1.616341
2.442839 1.617169
2.439937 1.617996
2.437027 1.618822
2.434109 1.619646
2.431182 1.620469
2.428247 1.621290
2.425303 1.622110
2.422351 1.622929
2.419391 1.623746
2.416422 1.624561
2.413445 1.625375
2.410460 1.626187
2.407466 1.626998
2.404464 1.627808
2.401454 1.628616
2.398436 1.629423
2.395410 1.630228
2.392375 1.631031
2.389333 1.631834
2.386282 1.632634
2.383223 1.633434
2.380156 1.634231
2.377081 1.635027
2.373998 1.635822
2.370907 1.636616
2.367808 1.637407
2.364701 1.638198
2.361586 1.638986
2.358463 1.639774
2.355332 1.640560
2.352193 1.641344
2.349046 1.642127
2.345892 1.642908
2.342729 1.643688
2.339559 1.644466
2.336381 1.645243
2.333195 1.646019
2.330002 1.646793
2.326800 1.647565
2.323591 1.648336
2.320375 1.649105
2.317150 1.649873
2.313918 1.650639
2.310678 1.651404
2.307431 1.652168
2.304176 1.652929
2.300914 1.653690
2.297644 1.654449
2.294366 1.655206
2.291081 1.655962
2.287788 1.656716
2.284488 1.657469
2.281180 1.658220
2.277865 1.658970
2.274543 1.659718
2.271213 1.660465
2.267876 1.661210
2.264531 1.661954
2.261179 1.662696
2.257820 1.663436
2.254454 1.664176
2.251080 1.664913
2.247699 1.665649
2.244311 1.666384
2.240915 1.667117
2.237513 1.667848
2.234103 1.668578
2.230686 1.669307
2.227262 1.670034
2.223830 1.670759
2.220392 1.671483
2.216947 1.672205
2.213494 1.672926
2.210035 1.673645
2.206568 1.674363
2.203095 1.675079
2.199614 1.675793
2.196127 1.676506
2.192633 1.677218
2.189132 1.677928
2.185624 1.678636
2.182109 1.679343
2.178587 1.680049
2.175058 1.680752
2.171523 1.681455
2.167981 1.682155
2.164432 1.682854
2.160877 1.683552
2.157314 1.684248
2.153745 1.684942
2.150170 1.685635
2.146587 1.686327
2.142998 1.687017
2.139403 1.687705
2.135801 1.688391
2.132192 1.689077
2.128577 1.689760
2.124955 1.690442
2.121327 1.691123
2.117692 1.691801
2.114051 1.692479
2.110403 1.693154
2.106749 1.693829
2.103089 1.694501
2.099422 1.695172
2.095749 1.695842
2.092069 1.696510
2.088383 1.697176
2.084691 1.697841
2.080993 1.698504
2.077288 1.699165
2.073578 1.699825
2.069861 1.700484
2.066137 1.701141
2.062408 1.701796
2.058673 1.702450
2.054931 1.703102
2.051183 1.703752
2.047430 1.704401
2.043670 1.705049
2.039904 1.705694
2.036132 1.706338
2.032354 1.706981
2.028571 1.707622
2.024781 1.708261
2.020985 1.708899
2.017184 1.709535
2.013376 1.710170
2.009563 1.710803
2.005744 1.711434
2.001919 1.712064
1.998088 1.712692
1.994252 1.713319
1.990410 1.713944
1.986562 1.714568
1.982708 1.715189
1.978849 1.715810
1.974984 1.716428
1.971113 1.717045
1.967237 1.717661
1.963355 1.718274
1.959468 1.718887
1.955575 1.719497
1.951677 1.720106
1.947773 1.720713
1.943863 1.721319
1.939948 1.721923
1.936028 1.722526
1.932102 1.723127
1.928171 1.723726
1.924235 1.724324
1.920293 1.724920
1.916346 1.725514
1.912393 1.726107
1.908435 1.726698
1.904472 1.727288
1.900504 1.727875
1.896531 1.728462
1.892552 1.729046
1.888568 1.729629
1.884579 1.730211
1.880585 1.730791
1.876586 1.731369
1.872581 1.731945
1.868572 1.732520
1.864558 1.733093
1.860538 1.733665
1.856514 1.734235
1.852484 1.734803
1.848450 1.735370
1.844411 1.735935
1.840367 1.736499
1.836318 1.737060
1.832264 1.737620
1.828205 1.738179
1.824141 1.738736
1.820073 1.739291
1.816000 1.739845
1.811922 1.740397
1.807839 1.740947
1.803752 1.741495
1.799660 1.742042
1.795563 1.742588
1.791462 1.743131
1.787356 1.743673
1.783246 1.744214
1.779130 1.744753
1.775011 1.745290
1.770887 1.745825
1.766758 1.746359
1.762625 1.746891
1.758487 1.747421
1.754345 1.747950
1.750199 1.748477
1.746048 1.749003
