# circle in zeta-plane case 3
# xi0 = 0, eta0 = 0.3, r = 1.04403
# xi   eta   xi/a   eta/a
1.044031 0.300000 1.044031 0.300000
1.043991 0.309111 1.043991 0.309111
1.043872 0.318221 1.043872 0.318221
1.043673 0.327330 1.043673 0.327330
1.043395 0.336436 1.043395 0.336436
1.043037 0.345540 1.043037 0.345540
1.042600 0.354640 1.042600 0.354640
1.042083 0.363737 1.042083 0.363737
1.041487 0.372828 1.041487 0.372828
1.040812 0.381914 1.040812 0.381914
1.040058 0.390993 1.040058 0.390993
1.039224 0.400066 1.039224 0.400066
1.038311 0.409131 1.038311 0.409131
1.037319 0.418188 1.037319 0.418188
1.036249 0.427235 1.036249 0.427235
1.035099 0.436273 1.035099 0.436273
1.033870 0.445301 1.033870 0.445301
1.032563 0.454318 1.032563 0.454318
1.031177 0.463322 1.031177 0.463322
1.029712 0.472315 1.029712 0.472315
1.028169 0.481294 1.028169 0.481294
1.026548 0.490259 1.026548 0.490259
1.024849 0.499210 1.024849 0.499210
1.023071 0.508146 1.023071 0.508146
1.021216 0.517066 1.021216 0.517066
1.019283 0.525970 1.019283 0.525970
1.017272 0.534856 1.017272 0.534856
1.015184 0.543724 1.015184 0.543724
1.013018 0.552574 1.013018 0.552574
1.010776 0.561404 1.010776 0.561404
1.008456 0.570215 1.008456 0.570215
1.006060 0.579005 1.006060 0.579005
1.003587 0.587774 1.003587 0.587774
1.001037 0.596521 1.001037 0.596521
0.998411 0.605245 0.998411 0.605245
0.995710 0.613946 0.995710 0.613946
0.992932 0.622623 0.992932 0.622623
0.990079 0.631276 0.990079 0.631276
0.987150 0.639903 0.987150 0.639903
0.984147 0.648505 0.984147 0.648505
0.981068 0.657080 0.981068 0.657080
0.977914 0.665627 0.977914 0.665627
0.974687 0.674147 0.974687 0.674147
0.971384 0.682639 0.971384 0.682639
0.968008 0.691101 0.968008 0.691101
0.964559 0.699533 0.964559 0.699533
0.961035 0.707935 0.961035 0.707935
0.957439 0.716306 0.957439 0.716306
0.953769 0.724646 0.953769 0.724646
0.950027 0.732952 0.950027 0.732952
0.946213 0.741226 0.946213 0.741226
0.942327 0.749467 0.942327 0.749467
0.938369 0.757673 0.938369 0.757673
0.934339 0.765844 0.934339 0.765844
0.930238 0.773980 0.930238 0.773980
0.926066 0.782080 0.926066 0.782080
0.921824 0.790143 0.921824 0.790143
0.917512 0.798168 0.917512 0.798168
0.913130 0.806156 0.913130 0.806156
0.908678 0.814105 0.908678 0.814105
0.904157 0.822015 0.904157 0.822015
0.899567 0.829886 0.899567 0.829886
0.894909 0.837716 0.894909 0.837716
0.890182 0.845505 0.890182 0.845505
0.885388 0.853252 0.885388 0.853252
0.880527 0.860957 0.880527 0.860957
0.875598 0.868620 0.875598 0.868620
0.870602 0.876239 0.870602 0.876239
0.865541 0.883815 0.865541 0.883815
0.860413 0.891345 0.860413 0.891345
0.855220 0.898831 0.855220 0.898831
0.849962 0.906272 0.849962 0.906272
0.844639 0.913666 0.844639 0.913666
0.839251 0.921013 0.839251 0.921013
0.833800 0.928313 0.833800 0.928313
0.828285 0.935566 0.828285 0.935566
0.822707 0.942769 0.822707 0.942769
0.817067 0.949924 0.817067 0.949924
0.811364 0.957030 0.811364 0.957030
0.805600 0.964085 0.805600 0.964085
0.799774 0.971090 0.799774 0.971090
0.793887 0.978044 0.793887 0.978044
0.787940 0.984946 0.787940 0.984946
0.781933 0.991796 0.781933 0.991796
0.775866 0.998593 0.775866 0.998593
0.769740 1.005337 0.769740 1.005337
0.763556 1.012027 0.763556 1.012027
0.757313 1.018663 0.757313 1.018663
0.751013 1.025245 0.751013 1.025245
0.744655 1.031771 0.744655 1.031771
