# circle in zeta-plane case 5
# xi0 = -0.2, eta0 = 0, r = 1.2
# xi   eta   xi/a   eta/a
1.000000 0.000000 1.000000 0.000000
0.999954 0.010472 0.999954 0.010472
0.999817 0.020943 0.999817 0.020943
0.999589 0.031412 0.999589 0.031412
0.999269 0.041879 0.999269 0.041879
0.998858 0.052343 0.998858 0.052343
0.998355 0.062803 0.998355 0.062803
0.997762 0.073258 0.997762 0.073258
0.997077 0.083708 0.997077 0.083708
0.996301 0.094151 0.996301 0.094151
0.995434 0.104587 0.995434 0.104587
0.994475 0.115015 0.994475 0.115015
0.993426 0.125434 0.993426 0.125434
0.992286 0.135844 0.992286 0.135844
0.991055 0.146243 0.991055 0.146243
0.989734 0.156631 0.989734 0.156631
0.988322 0.167008 0.988322 0.167008
0.986819 0.177371 0.986819 0.177371
0.985226 0.187721 0.985226 0.187721
0.983543 0.198057 0.983543 0.198057
0.981769 0.208378 0.981769 0.208378
0.979906 0.218683 0.979906 0.218683
0.977953 0.228971 0.977953 0.228971
0.975910 0.239242 0.975910 0.239242
0.973777 0.249494 0.973777 0.249494
0.971555 0.259728 0.971555 0.259728
0.969244 0.269941 0.969244 0.269941
0.966844 0.280134 0.966844 0.280134
0.964355 0.290306 0.964355 0.290306
0.961777 0.300456 0.961777 0.300456
0.959111 0.310583 0.959111 0.310583
0.956357 0.320686 0.956357 0.320686
0.953514 0.330765 0.953514 0.330765
0.950584 0.340818 0.950584 0.340818
0.947566 0.350846 0.947566 0.350846
0.944460 0.360847 0.944460 0.360847
0.941268 0.370820 0.941268 0.370820
0.937988 0.380766 0.937988 0.380766
0.934622 0.390682 0.934622 0.390682
0.931170 0.400568 0.931170 0.400568
0.927631 0.410424 0.927631 0.410424
0.924007 0.420249 0.924007 0.420249
0.920297 0.430042 0.920297 0.430042
0.916501 0.439801 0.916501 0.439801
0.912621 0.449528 0.912621 0.449528
0.908655 0.459220 0.908655 0.459220
0.904606 0.468877 0.904606 0.468877
0.900472 0.478499 0.900472 0.478499
0.896255 0.488084 0.896255 0.488084
0.891954 0.497632 0.891954 0.497632
0.887569 0.507142 0.887569 0.507142
0.883102 0.516613 0.883102 0.516613
0.878553 0.526045 0.878553 0.526045
0.873921 0.535437 0.873921 0.535437
0.869208 0.544789 0.869208 0.544789
0.864413 0.554098 0.864413 0.554098
0.859537 0.563366 0.859537 0.563366
0.854581 0.572591 0.854581 0.572591
0.849544 0.581772 0.849544 0.581772
0.844427 0.590908 0.844427 0.590908
0.839230 0.600000 0.839230 0.600000
0.833955 0.609046 0.833955 0.609046
0.828601 0.618046 0.828601 0.618046
0.823168 0.626998 0.823168 0.626998
0.817658 0.635903 0.817658 0.635903
0.812070 0.644760 0.812070 0.644760
0.806405 0.653567 0.806405 0.653567
0.800663 0.662324 0.800663 0.662324
0.794845 0.671031 0.794845 0.671031
0.788951 0.679687 0.788951 0.679687
0.782982 0.688292 0.782982 0.688292
0.776939 0.696844 0.776939 0.696844
