# circle in zeta-plane case 8
# xi0 = -0.1, eta0 = 0.2, r = 1.11803
# xi   eta   xi/a   eta/a
1.018034 0.200000 1.018034 0.200000
1.017991 0.209757 1.017991 0.209757
1.017864 0.219512 1.017864 0.219512
1.017651 0.229267 1.017651 0.229267
1.017353 0.239019 1.017353 0.239019
1.016970 0.248768 1.016970 0.248768
1.016502 0.258513 1.016502 0.258513
1.015949 0.268254 1.015949 0.268254
1.015311 0.277990 1.015311 0.277990
1.014587 0.287720 1.014587 0.287720
1.013780 0.297443 1.013780 0.297443
1.012887 0.307159 1.012887 0.307159
1.011909 0.316866 1.011909 0.316866
1.010847 0.326565 1.010847 0.326565
1.009700 0.336254 1.009700 0.336254
1.008469 0.345933 1.008469 0.345933
1.007153 0.355600 1.007153 0.355600
1.005753 0.365256 1.005753 0.365256
1.004269 0.374899 1.004269 0.374899
1.002701 0.384529 1.002701 0.384529
1.001049 0.394145 1.001049 0.394145
0.999312 0.403746 0.999312 0.403746
0.997493 0.413331 0.997493 0.413331
0.995589 0.422900 0.995589 0.422900
0.993602 0.432452 0.993602 0.432452
0.991532 0.441987 0.991532 0.441987
0.989379 0.451503 0.989379 0.451503
0.987143 0.461000 0.987143 0.461000
0.984824 0.470477 0.984824 0.470477
0.982422 0.479933 0.982422 0.479933
0.979938 0.489368 0.979938 0.489368
0.977372 0.498782 0.977372 0.498782
0.974723 0.508172 0.974723 0.508172
0.971993 0.517539 0.971993 0.517539
0.969181 0.526882 0.969181 0.526882
0.966288 0.536199 0.966288 0.536199
0.963314 0.545492 0.963314 0.545492
0.960258 0.554757 0.960258 0.554757
0.957122 0.563996 0.957122 0.563996
0.953905 0.573207 0.953905 0.573207
0.950608 0.582390 0.950608 0.582390
0.947231 0.591544 0.947231 0.591544
0.943775 0.600668 0.943775 0.600668
0.940238 0.609761 0.940238 0.609761
0.936623 0.618823 0.936623 0.618823
0.932929 0.627853 0.932929 0.627853
0.929156 0.636851 0.929156 0.636851
0.925304 0.645815 0.925304 0.645815
0.921375 0.654745 0.921375 0.654745
0.917368 0.663641 0.917368 0.663641
0.913283 0.672502 0.913283 0.672502
0.909121 0.681326 0.909121 0.681326
0.904882 0.690114 0.904882 0.690114
0.900567 0.698864 0.900567 0.698864
0.896176 0.707577 0.896176 0.707577
0.891708 0.716251 0.891708 0.716251
0.887165 0.724885 0.887165 0.724885
0.882547 0.733480 0.882547 0.733480
0.877855 0.742034 0.877855 0.742034
0.873087 0.750546 0.873087 0.750546
0.868246 0.759017 0.868246 0.759017
0.863331 0.767445 0.863331 0.767445
0.858342 0.775830 0.858342 0.775830
0.853281 0.784171 0.853281 0.784171
0.848147 0.792468 0.848147 0.792468
0.842940 0.800719 0.842940 0.800719
0.837662 0.808925 0.837662 0.808925
0.832313 0.817084 0.832313 0.817084
0.826892 0.825197 0.826892 0.825197
0.821401 0.833261 0.821401 0.833261
0.815840 0.841278 0.815840 0.841278
0.810209 0.849246 0.810209 0.849246
0.804508 0.857164 0.804508 0.857164
0.798739 0.865032 0.798739 0.865032
0.792902 0.872850 0.792902 0.872850
0.786996 0.880616 0.786996 0.880616
0.781023 0.888330 0.781023 0.888330
0.774983 0.895993 0.774983 0.895993
0.768876 0.903602 0.768876 0.903602
0.762703 0.911157 0.762703 0.911157
0.756464 0.918658 0.756464 0.918658
0.750160 0.926105 0.750160 0.926105
0.743791 0.933496 0.743791 0.933496
0.737358 0.940832 0.737358 0.940832
0.730861 0.948111 0.730861 0.948111
0.724301 0.955333 0.724301 0.955333
0.717678 0.962497 0.717678 0.962497
0.710993 0.969604 0.710993 0.969604
0.704246 0.976652 0.704246 0.976652
0.697438 0.983640 0.697438 0.983640
0.690569 0.990569 0.690569 0.990569
0.683640 0.997438 0.683640 0.997438
0.676652 1.004246 0.676652 1.004246
0.669604 1.010993 0.669604 1.010993
0.662497 1.017678 0.662497 1.017678
0.655333 1.024301 0.655333 1.024301
0.648111 1.030861 0.648111 1.030861
0.640832 1.037358 0.640832 1.037358
0.633496 1.043791 0.633496 1.043791
0.626105 1.050160 0.626105 1.050160
0.618658 1.056464 0.618658 1.056464
0.611157 1.062703 0.611157 1.062703
0.603602 1.068876 0.603602 1.068876
0.595993 1.074983 0.595993 1.074983
0.588330 1.081023 0.588330 1.081023
