# Joukowski airfoil case 3
# a = 1, xi0 = 0, eta0 = 0.3, r = 1.04403
# x   y   x/a   y/a
1.928802 0.045763 1.928802 0.045763
1.924649 0.048360 1.924649 0.048360
1.920388 0.051018 1.920388 0.051018
1.916019 0.053734 1.916019 0.053734
1.911543 0.056507 1.911543 0.056507
1.906962 0.059337 1.906962 0.059337
1.902274 0.062222 1.902274 0.062222
1.897483 0.065162 1.897483 0.065162
1.892587 0.068154 1.892587 0.068154
1.887587 0.071200 1.887587 0.071200
1.882485 0.074296 1.882485 0.074296
1.877281 0.077442 1.877281 0.077442
1.871976 0.080638 1.871976 0.080638
1.866570 0.083882 1.866570 0.083882
1.861063 0.087172 1.861063 0.087172
1.855457 0.090509 1.855457 0.090509
1.849753 0.093890 1.849753 0.093890
1.843949 0.097315 1.843949 0.097315
1.838049 0.100783 1.838049 0.100783
1.832051 0.104293 1.832051 0.104293
1.825957 0.107844 1.825957 0.107844
1.819767 0.111434 1.819767 0.111434
1.813482 0.115062 1.813482 0.115062
1.807102 0.118729 1.807102 0.118729
1.800628 0.122431 1.800628 0.122431
1.794060 0.126170 1.794060 0.126170
1.787400 0.129942 1.787400 0.129942
1.780647 0.133748 1.780647 0.133748
1.773803 0.137587 1.773803 0.137587
1.766868 0.141456 1.766868 0.141456
1.759842 0.145356 1.759842 0.145356
1.752726 0.149286 1.752726 0.149286
1.745520 0.153243 1.745520 0.153243
1.738226 0.157228 1.738226 0.157228
1.730843 0.161239 1.730843 0.161239
1.723372 0.165276 1.723372 0.165276
1.715814 0.169336 1.715814 0.169336
1.708170 0.173420 1.708170 0.173420
1.700439 0.177526 1.700439 0.177526
1.692623 0.181653 1.692623 0.181653
1.684722 0.185801 1.684722 0.185801
1.676736 0.189967 1.676736 0.189967
1.668666 0.194152 1.668666 0.194152
1.660513 0.198355 1.660513 0.198355
1.652277 0.202573 1.652277 0.202573
1.643959 0.206807 1.643959 0.206807
1.635559 0.211055 1.635559 0.211055
1.627078 0.215317 1.627078 0.215317
1.618516 0.219591 1.618516 0.219591
1.609873 0.223877 1.609873 0.223877
1.601152 0.228173 1.601152 0.228173
1.592351 0.232479 1.592351 0.232479
1.583471 0.236794 1.583471 0.236794
1.574513 0.241116 1.574513 0.241116
1.565478 0.245445 1.565478 0.245445
1.556366 0.249780 1.556366 0.249780
1.547178 0.254120 1.547178 0.254120
1.537913 0.258465 1.537913 0.258465
1.528573 0.262812 1.528573 0.262812
1.519159 0.267162 1.519159 0.267162
1.509670 0.271513 1.509670 0.271513
1.500107 0.275864 1.500107 0.275864
1.490471 0.280216 1.490471 0.280216
1.480762 0.284566 1.480762 0.284566
1.470981 0.288914 1.470981 0.288914
1.461129 0.293259 1.461129 0.293259
1.451205 0.297600 1.451205 0.297600
1.441211 0.301936 1.441211 0.301936
1.431147 0.306267 1.431147 0.306267
1.421013 0.310591 1.421013 0.310591
1.410810 0.314909 1.410810 0.314909
1.400539 0.319218 1.400539 0.319218
1.390200 0.323518 1.390200 0.323518
1.379794 0.327809 1.379794 0.327809
1.369321 0.332090 1.369321 0.332090
1.358782 0.336359 1.358782 0.336359
1.348177 0.340615 1.348177 0.340615
1.337507 0.344860 1.337507 0.344860
1.326772 0.349090 1.326772 0.349090
1.315973 0.353306 1.315973 0.353306
1.305111 0.357507 1.305111 0.357507
1.294186 0.361692 1.294186 0.361692
1.283198 0.365860 1.283198 0.365860
1.272149 0.370010 1.272149 0.370010
1.261038 0.374143 1.261038 0.374143
1.249867 0.378256 1.249867 0.378256
1.238635 0.382350 1.238635 0.382350
1.227344 0.386424 1.227344 0.386424
1.215994 0.390476 1.215994 0.390476
1.204585 0.394506 1.204585 0.394506
1.193119 0.398514 1.193119 0.398514
1.181595 0.402499 1.181595 0.402499
1.170014 0.406460 1.170014 0.406460
1.158377 0.410396 1.158377 0.410396
1.146685 0.414307 1.146685 0.414307
1.134937 0.418192 1.134937 0.418192
1.123135 0.422051 1.123135 0.422051
1.111279 0.425882 1.111279 0.425882
1.099370 0.429685 1.099370 0.429685
1.087408 0.433460 1.087408 0.433460
1.075394 0.437205 1.075394 0.437205
1.063328 0.440921 1.063328 0.440921
1.051212 0.444606 1.051212 0.444606
1.039045 0.448261 1.039045 0.448261
1.026828 0.451883 1.026828 0.451883
1.014562 0.455474 1.014562 0.455474
1.002247 0.459031 1.002247 0.459031
0.989884 0.462556 0.989884 0.462556
0.977474 0.466046 0.977474 0.466046
0.965017 0.469502 0.965017 0.469502
0.952514 0.472922 0.952514 0.472922
0.939965 0.476307 0.939965 0.476307
0.927371 0.479656 0.927371 0.479656
0.914733 0.482968 0.914733 0.482968
0.902051 0.486243 0.902051 0.486243
0.889326 0.489480 0.889326 0.489480
0.876558 0.492678 0.876558 0.492678
0.863748 0.495838 0.863748 0.495838
0.850897 0.498958 0.850897 0.498958
0.838005 0.502039 0.838005 0.502039
0.825073 0.505080 0.825073 0.505080
0.812102 0.508079 0.812102 0.508079
0.799091 0.511037 0.799091 0.511037
0.786043 0.513954 0.786043 0.513954
0.772956 0.516829 0.772956 0.516829
0.759833 0.519660 0.759833 0.519660
0.746673 0.522449 0.746673 0.522449
0.733478 0.525195 0.733478 0.525195
0.720247 0.527896 0.720247 0.527896
0.706982 0.530553 0.706982 0.530553
0.693684 0.533166 0.693684 0.533166
0.680352 0.535733 0.680352 0.535733
0.666987 0.538254 0.666987 0.538254
0.653590 0.540730 0.653590 0.540730
0.640163 0.543160 0.640163 0.543160
0.626704 0.545543 0.626704 0.545543
0.613216 0.547878 0.613216 0.547878
0.599698 0.550167 0.599698 0.550167
0.586151 0.552408 0.586151 0.552408
0.572576 0.554600 0.572576 0.554600
0.558974 0.556744 0.558974 0.556744
0.545346 0.558840 0.545346 0.558840
0.531691 0.560886 0.531691 0.560886
0.518010 0.562884 0.518010 0.562884
0.504305 0.564831 0.504305 0.564831
0.490576 0.566729 0.490576 0.566729
0.476823 0.568576 0.476823 0.568576
0.463047 0.570373 0.463047 0.570373
0.449249 0.572119 0.449249 0.572119
0.435430 0.573814 0.435430 0.573814
0.421590 0.575458 0.421590 0.575458
0.407729 0.577050 0.407729 0.577050
0.393849 0.578591 0.393849 0.578591
0.379951 0.580079 0.379951 0.580079
0.366034 0.581515 0.366034 0.581515
0.352099 0.582899 0.352099 0.582899
0.338148 0.584230 0.338148 0.584230
0.324180 0.585509 0.324180 0.585509
0.310197 0.586734 0.310197 0.586734
0.296199 0.587906 0.296199 0.587906
0.282187 0.589025 0.282187 0.589025
0.268161 0.590091 0.268161 0.590091
0.254122 0.591102 0.254122 0.591102
0.240072 0.592060 0.240072 0.592060
0.226009 0.592964 0.226009 0.592964
0.211936 0.593813 0.211936 0.593813
0.197853 0.594609 0.197853 0.594609
0.183760 0.595350 0.183760 0.595350
0.169659 0.596037 0.169659 0.596037
0.155549 0.596669 0.155549 0.596669
0.141432 0.597246 0.141432 0.597246
0.127308 0.597769 0.127308 0.597769
0.113178 0.598237 0.113178 0.598237
0.099043 0.598650 0.099043 0.598650
0.084903 0.599008 0.084903 0.599008
0.070758 0.599311 0.070758 0.599311
0.056611 0.599559 0.056611 0.599559
0.042460 0.599752 0.042460 0.599752
0.028308 0.599890 0.028308 0.599890
0.014154 0.599972 0.014154 0.599972
0.000000 0.600000 0.000000 0.600000
-0.014154 0.599972 -0.014154 0.599972
-0.028308 0.599890 -0.028308 0.599890
-0.042460 0.599752 -0.042460 0.599752
-0.056611 0.599559 -0.056611 0.599559
-0.070758 0.599311 -0.070758 0.599311
-0.084903 0.599008 -0.084903 0.599008
-0.099043 0.598650 -0.099043 0.598650
-0.113178 0.598237 -0.113178 0.598237
-0.127308 0.597769 -0.127308 0.597769
-0.141432 0.597246 -0.141432 0.597246
-0.155549 0.596669 -0.155549 0.596669
-0.169659 0.596037 -0.169659 0.596037
-0.183760 0.595350 -0.183760 0.595350
-0.197853 0.594609 -0.197853 0.594609
-0.211936 0.593813 -0.211936 0.593813
-0.226009 0.592964 -0.226009 0.592964
-0.240072 0.592060 -0.240072 0.592060
-0.254122 0.591102 -0.254122 0.591102
-0.268161 0.590091 -0.268161 0.590091
-0.282187 0.589025 -0.282187 0.589025
-0.296199 0.587906 -0.296199 0.587906
-0.310197 0.586734 -0.310197 0.586734
-0.324180 0.585509 -0.324180 0.585509
-0.338148 0.584230 -0.338148 0.584230
-0.352099 0.582899 -0.352099 0.582899
-0.366034 0.581515 -0.366034 0.581515
-0.379951 0.580079 -0.379951 0.580079
-0.393849 0.578591 -0.393849 0.578591
-0.407729 0.577050 -0.407729 0.577050
-0.421590 0.575458 -0.421590 0.575458
-0.435430 0.573814 -0.435430 0.573814
-0.449249 0.572119 -0.449249 0.572119
-0.463047 0.570373 -0.463047 0.570373
-0.476823 0.568576 -0.476823 0.568576
-0.490576 0.566729 -0.490576 0.566729
-0.504305 0.564831 -0.504305 0.564831
-0.518010 0.562884 -0.518010 0.562884
-0.531691 0.560886 -0.531691 0.560886
-0.545346 0.558840 -0.545346 0.558840
-0.558974 0.556744 -0.558974 0.556744
-0.572576 0.554600 -0.572576 0.554600
-0.586151 0.552408 -0.586151 0.552408
-0.599698 0.550167 -0.599698 0.550167
-0.613216 0.547878 -0.613216 0.547878
-0.626704 0.545543 -0.626704 0.545543
-0.640163 0.543160 -0.640163 0.543160
-0.653590 0.540730 -0.653590 0.540730
-0.666987 0.538254 -0.666987 0.538254
-0.680352 0.535733 -0.680352 0.535733
-0.693684 0.533166 -0.693684 0.533166
-0.706982 0.530553 -0.706982 0.530553
-0.720247 0.527896 -0.720247 0.527896
