# Joukowski airfoil case 7
# a = 1, xi0 = -0.1, eta0 = 0.1, r = 1.10454
# x   y   x/a   y/a
1.990252 0.001874 1.990252 0.001874
1.988300 0.002258 1.988300 0.002258
1.986172 0.002680 1.986172 0.002680
1.983870 0.003138 1.983870 0.003138
1.981395 0.003634 1.981395 0.003634
1.978747 0.004168 1.978747 0.004168
1.975927 0.004739 1.975927 0.004739
1.972936 0.005347 1.972936 0.005347
1.969774 0.005994 1.969774 0.005994
1.966444 0.006678 1.966444 0.006678
1.962944 0.007401 1.962944 0.007401
1.959278 0.008162 1.959278 0.008162
1.955444 0.008961 1.955444 0.008961
1.951445 0.009798 1.951445 0.009798
1.947281 0.010673 1.947281 0.010673
1.942954 0.011587 1.942954 0.011587
1.938463 0.012538 1.938463 0.012538
1.933810 0.013528 1.933810 0.013528
1.928996 0.014556 1.928996 0.014556
1.924023 0.015623 1.924023 0.015623
1.918890 0.016727 1.918890 0.016727
1.913599 0.017869 1.913599 0.017869
1.908152 0.019049 1.908152 0.019049
1.902548 0.020267 1.902548 0.020267
1.896789 0.021522 1.896789 0.021522
1.890877 0.022815 1.890877 0.022815
1.884812 0.024145 1.884812 0.024145
1.878594 0.025512 1.878594 0.025512
1.872227 0.026916 1.872227 0.026916
1.865709 0.028357 1.865709 0.028357
1.859043 0.029834 1.859043 0.029834
1.852229 0.031348 1.852229 0.031348
1.845269 0.032898 1.845269 0.032898
1.838164 0.034483 1.838164 0.034483
1.830914 0.036104 1.830914 0.036104
1.823521 0.037760 1.823521 0.037760
1.815986 0.039451 1.815986 0.039451
1.808311 0.041177 1.808311 0.041177
1.800495 0.042937 1.800495 0.042937
1.792541 0.044731 1.792541 0.044731
1.784450 0.046558 1.784450 0.046558
1.776222 0.048419 1.776222 0.048419
1.767859 0.050313 1.767859 0.050313
1.759361 0.052239 1.759361 0.052239
1.750731 0.054198 1.750731 0.054198
1.741969 0.056188 1.741969 0.056188
1.733076 0.058210 1.733076 0.058210
1.724054 0.060262 1.724054 0.060262
1.714904 0.062345 1.714904 0.062345
1.705626 0.064458 1.705626 0.064458
1.696222 0.066601 1.696222 0.066601
1.686694 0.068773 1.686694 0.068773
1.677042 0.070973 1.677042 0.070973
1.667267 0.073202 1.667267 0.073202
1.657371 0.075459 1.657371 0.075459
1.647355 0.077742 1.647355 0.077742
1.637220 0.080053 1.637220 0.080053
1.626967 0.082390 1.626967 0.082390
1.616598 0.084752 1.616598 0.084752
1.606113 0.087140 1.606113 0.087140
1.595513 0.089552 1.595513 0.089552
1.584801 0.091988 1.584801 0.091988
1.573977 0.094448 1.573977 0.094448
1.563042 0.096931 1.563042 0.096931
1.551997 0.099437 1.551997 0.099437
1.540844 0.101964 1.540844 0.101964
1.529584 0.104513 1.529584 0.104513
