# Airfoil (Joukowski)
# a=1, xi0=-0.1, eta0=0.25, r=1.12805
1.946455 0.026664
1.942346 0.028732
1.938097 0.030871
1.933710 0.033081
1.929185 0.035361
1.924523 0.037709
1.919727 0.040126
1.914796 0.042611
1.909732 0.045161
1.904537 0.047778
1.899211 0.050459
1.893755 0.053204
1.888172 0.056012
1.882461 0.058882
1.876624 0.061813
1.870662 0.064805
1.864576 0.067856
1.858368 0.070965
1.852037 0.074131
1.845587 0.077354
1.839016 0.080633
1.832327 0.083965
1.825521 0.087352
1.818598 0.090790
1.811560 0.094281
1.804408 0.097821
1.797142 0.101411
1.789764 0.105050
1.782275 0.108735
1.774675 0.112468
1.766966 0.116245
1.759149 0.120067
1.751224 0.123932
1.743192 0.127839
1.735056 0.131787
1.726814 0.135776
1.718469 0.139803
1.710022 0.143869
1.701472 0.147971
1.692822 0.152109
1.684072 0.156282
1.675223 0.160489
1.666276 0.164728
1.657232 0.168999
1.648091 0.173301
1.638855 0.177632
1.629525 0.181992
1.620101 0.186379
1.610584 0.190792
1.600975 0.195231
1.591275 0.199694
1.581485 0.204180
1.571606 0.208688
1.561638 0.213217
1.551583 0.217766
1.541440 0.222335
1.531212 0.226921
1.520898 0.231524
1.510501 0.236143
1.500019 0.240777
1.489455 0.245425
1.478809 0.250085
1.468082 0.254757
1.457275 0.259440
1.446388 0.264133
1.435423 0.268835
1.424380 0.273544
1.413259 0.278260
1.402063 0.282982
1.390791 0.287709
1.379444 0.292439
1.368023 0.297172
1.356529 0.301907
1.344963 0.306643
1.333325 0.311379
1.321616 0.316114
1.309837 0.320847
1.297989 0.325577
1.286073 0.330303
1.274089 0.335024
1.262037 0.339739
1.249920 0.344448
1.237737 0.349149
1.225489 0.353842
1.213178 0.358526
1.200803 0.363199
1.188366 0.367861
1.175867 0.372511
1.163307 0.377148
1.150687 0.381771
1.138008 0.386379
1.125270 0.390972
1.112474 0.395549
1.099621 0.400109
1.086711 0.404650
1.073746 0.409173
1.060726 0.413676
1.047652 0.418159
1.034524 0.422620
1.021344 0.427059
1.008111 0.431476
0.994828 0.435869
0.981494 0.440237
0.968110 0.444580
0.954678 0.448898
0.941197 0.453189
0.927668 0.457452
0.914093 0.461687
0.900472 0.465893
0.886806 0.470070
0.873095 0.474217
0.859341 0.478332
0.845543 0.482416
0.831704 0.486468
0.817822 0.490486
0.803901 0.494471
0.789939 0.498421
0.775937 0.502337
0.761897 0.506217
0.747820 0.510060
0.733705 0.513867
0.719554 0.517636
0.705368 0.521367
0.691147 0.525059
0.676892 0.528712
0.662603 0.532325
0.648282 0.535897
0.633929 0.539429
0.619546 0.542919
0.605131 0.546366
0.590688 0.549771
0.576215 0.553133
0.561715 0.556451
0.547187 0.559725
0.532633 0.562954
0.518053 0.566138
0.503448 0.569276
0.488819 0.572367
0.474166 0.575412
0.459491 0.578410
0.444793 0.581360
0.430075 0.584263
0.415335 0.587116
0.400577 0.589921
0.385799 0.592676
0.371003 0.595382
0.356190 0.598038
0.341359 0.600642
0.326514 0.603196
0.311652 0.605699
0.296777 0.608150
0.281888 0.610549
0.266986 0.612895
0.252072 0.615189
0.237147 0.617430
0.222211 0.619617
0.207265 0.621751
0.192310 0.623831
0.177347 0.625856
0.162376 0.627827
0.147399 0.629743
0.132416 0.631604
0.117427 0.633409
0.102435 0.635159
0.087438 0.636853
0.072438 0.638491
0.057437 0.640072
0.042434 0.641597
0.027430 0.643065
0.012427 0.644476
-0.002576 0.645830
-0.017577 0.647127
-0.032575 0.648366
-0.047571 0.649547
-0.062562 0.650671
-0.077548 0.651737
-0.092529 0.652744
-0.107504 0.653693
-0.122472 0.654584
-0.137432 0.655417
-0.152383 0.656190
-0.167325 0.656905
-0.182256 0.657562
-0.197177 0.658159
-0.212087 0.658698
-0.226983 0.659177
-0.241867 0.659598
-0.256737 0.659960
-0.271592 0.660262
-0.286432 0.660505
-0.301255 0.660689
-0.316061 0.660814
-0.330850 0.660880
-0.345620 0.660887
-0.360371 0.660834
-0.375102 0.660723
-0.389812 0.660552
-0.404501 0.660322
-0.419168 0.660033
-0.433811 0.659686
-0.448430 0.659279
-0.463025 0.658814
-0.477595 0.658290
-0.492139 0.657707
-0.506656 0.657066
-0.521145 0.656367
-0.535606 0.655609
-0.550038 0.654793
-0.564441 0.653919
-0.578812 0.652987
-0.593153 0.651997
-0.607461 0.650950
-0.621737 0.649846
-0.635979 0.648684
-0.650187 0.647465
-0.664360 0.646189
-0.678498 0.644856
-0.692598 0.643467
-0.706662 0.642022
-0.720688 0.640521
-0.734675 0.638964
-0.748623 0.637351
-0.762531 0.635683
-0.776398 0.633960
-0.790224 0.632182
-0.804007 0.630350
-0.817748 0.628463
-0.831444 0.626522
-0.845097 0.624528
-0.858704 0.622480
-0.872265 0.620379
-0.885780 0.618226
-0.899248 0.616020
-0.912668 0.613761
-0.926039 0.611451
-0.939360 0.609090
-0.952632 0.606677
-0.965853 0.604214
-0.979023 0.601701
-0.992140 0.599137
-1.005205 0.596524
-1.018216 0.593861
-1.031173 0.591150
-1.044076 0.588390
-1.056922 0.585582
-1.069713 0.582727
-1.082446 0.579824
-1.095122 0.576875
-1.107740 0.573879
-1.120299 0.570838
-1.132798 0.567751
-1.145237 0.564619
-1.157615 0.561443
-1.169932 0.558222
-1.182186 0.554958
-1.194377 0.551651
-1.206505 0.548302
-1.218569 0.544910
-1.230568 0.541477
-1.242501 0.538003
-1.254369 0.534488
-1.266170 0.530933
-1.277903 0.527339
-1.289568 0.523706
-1.301165 0.520034
-1.312692 0.516325
-1.324150 0.512578
-1.335537 0.508794
-1.346852 0.504975
-1.358097 0.501119
-1.369268 0.497229
-1.380367 0.493304
-1.391392 0.489346
-1.402344 0.485354
-1.413220 0.481330
-1.424021 0.477273
-1.434746 0.473185
-1.445394 0.469067
-1.455965 0.464918
-1.466459 0.460740
-1.476874 0.456532
-1.487210 0.452297
-1.497467 0.448034
-1.507644 0.443744
-1.517740 0.439427
-1.527755 0.435086
-1.537688 0.430719
-1.547539 0.426327
-1.557307 0.421913
-1.566991 0.417475
-1.576592 0.413015
-1.586108 0.408533
-1.595539 0.404031
-1.604884 0.399509
-1.614143 0.394967
-1.623315 0.390406
-1.632401 0.385827
-1.641398 0.381231
-1.650307 0.376619
-1.659127 0.371991
-1.667858 0.367347
-1.676499 0.362689
-1.685049 0.358018
-1.693509 0.353334
-1.701877 0.348637
-1.710153 0.343930
-1.718337 0.339211
-1.726428 0.334483
-1.734425 0.329746
-1.742328 0.325000
-1.750137 0.320247
-1.757851 0.315487
-1.765470 0.310722
-1.772992 0.305951
-1.780418 0.301175
-1.787748 0.296396
-1.794980 0.291614
-1.802114 0.286830
-1.809150 0.282045
-1.816086 0.277260
-1.822924 0.272475
-1.829662 0.267691
-1.836300 0.262908
-1.842837 0.258129
-1.849273 0.253354
-1.855608 0.248582
-1.861840 0.243816
-1.867970 0.239057
-1.873997 0.234304
-1.879921 0.229558
-1.885741 0.224821
-1.891457 0.220094
-1.897068 0.215377
-1.902574 0.210671
-1.907974 0.205976
-1.913268 0.201295
-1.918456 0.196626
-1.923537 0.191973
-1.928511 0.187334
-1.933377 0.182712
-1.938135 0.178106
-1.942784 0.173518
-1.947324 0.168948
-1.951755 0.164398
-1.956077 0.159869
-1.960288 0.155360
-1.964388 0.150873
-1.968377 0.146409
-1.972255 0.141968
-1.976021 0.137552
-1.979674 0.133161
-1.983215 0.128797
-1.986643 0.124459
-1.989957 0.120149
-1.993158 0.115867
-1.996244 0.111615
