# t  x1  y1  x2  y2  x3  y3  x4  y4  x5  y5  x6  y6  x7  y7  x8  y8  x9  y9  x10  y10  x11  y11  x12  y12  x13  y13  x14  y14  x15  y15  x16  y16  x17  y17  x18  y18  x19  y19  x20  y20  x21  y21  x22  y22  x23  y23  x24  y24  x25  y25  x26  y26  x27  y27  x28  y28  x29  y29  x30  y30  x31  y31  x32  y32  x33  y33  x34  y34  x35  y35  x36  y36  x37  y37  x38  y38  x39  y39  x40  y40
0.000000 0.500000 0.000000 0.353553 0.353553 0.000000 0.500000 -0.353553 0.353553 -0.500000 0.000000 -0.353553 -0.353553 -0.000000 -0.500000 0.353553 -0.353553 0.900000 0.000000 0.636396 0.636396 0.000000 0.900000 -0.636396 0.636396 -0.900000 0.000000 -0.636396 -0.636396 -0.000000 -0.900000 0.636396 -0.636396 1.000000 0.000000 0.707107 0.707107 0.000000 1.000000 -0.707107 0.707107 -1.000000 0.000000 -0.707107 -0.707107 -0.000000 -1.000000 0.707107 -0.707107 1.100000 0.000000 0.777817 0.777817 0.000000 1.100000 -0.777817 0.777817 -1.100000 0.000000 -0.777817 -0.777817 -0.000000 -1.100000 0.777817 -0.777817 1.500000 0.000000 1.060660 1.060660 0.000000 1.500000 -1.060660 1.060660 -1.500000 0.000000 -1.060660 -1.060660 -0.000000 -1.500000 1.060660 -1.060660
0.010000 0.507437 -0.005075 0.362400 0.355224 0.005075 0.507437 -0.355224 0.362400 -0.507437 0.005075 -0.362400 -0.355224 -0.005075 -0.507437 0.355224 -0.362400 0.901838 -0.009019 0.644073 0.631319 0.009019 0.901838 -0.631319 0.644073 -0.901838 0.009019 -0.644073 -0.631319 -0.009019 -0.901838 0.631319 -0.644073 0.999950 -0.010000 0.714142 0.700000 0.010000 0.999950 -0.700000 0.714142 -0.999950 0.010000 -0.714142 -0.700000 -0.010000 -0.999950 0.700000 -0.714142 1.097868 -0.010979 0.784073 0.768547 0.010979 1.097868 -0.768547 0.784073 -1.097868 0.010979 -0.784073 -0.768547 -0.010979 -1.097868 0.768547 -0.784073 1.487611 -0.014877 1.062419 1.041380 0.014877 1.487611 -1.041380 1.062419 -1.487611 0.014877 -1.062419 -1.041380 -0.014877 -1.487611 1.041380 -1.062419
0.020000 0.514747 -0.010296 0.371261 0.356700 0.010296 0.514747 -0.356700 0.371261 -0.514747 0.010296 -0.371261 -0.356700 -0.010296 -0.514747 0.356700 -0.371261 0.903552 -0.018073 0.651687 0.626128 0.018073 0.903552 -0.626128 0.651687 -0.903552 0.018073 -0.651687 -0.626128 -0.018073 -0.903552 0.626128 -0.651687 0.999800 -0.019999 0.721107 0.692824 0.019999 0.999800 -0.692824 0.721107 -0.999800 0.019999 -0.721107 -0.692824 -0.019999 -0.999800 0.692824 -0.721107 1.095672 -0.021916 0.790254 0.759260 0.021916 1.095672 -0.759260 0.790254 -1.095672 0.021916 -0.790254 -0.759260 -0.021916 -1.095672 0.759260 -0.790254 1.475436 -0.029513 1.064160 1.022422 0.029513 1.475436 -1.022422 1.064160 -1.475436 0.029513 -1.064160 -1.022422 -0.029513 -1.475436 1.022422 -1.064160
0.030000 0.521926 -0.015662 0.380132 0.357982 0.015662 0.521926 -0.357982 0.380132 -0.521926 0.015662 -0.380132 -0.357982 -0.015662 -0.521926 0.357982 -0.380132 0.905141 -0.027162 0.659238 0.620825 0.027162 0.905141 -0.620825 0.659238 -0.905141 0.027162 -0.659238 -0.620825 -0.027162 -0.905141 0.620825 -0.659238 0.999550 -0.029996 0.727999 0.685579 0.029996 0.999550 -0.685579 0.727999 -0.999550 0.029996 -0.727999 -0.685579 -0.029996 -0.999550 0.685579 -0.727999 1.093411 -0.032812 0.796360 0.749956 0.032812 1.093411 -0.749956 0.796360 -1.093411 0.032812 -0.796360 -0.749956 -0.032812 -1.093411 0.749956 -0.796360 1.463466 -0.043917 1.065881 1.003773 0.043917 1.463466 -1.003773 1.065881 -1.463466 0.043917 -1.065881 -1.003773 -0.043917 -1.463466 1.003773 -1.065881
0.040000 0.528973 -0.021170 0.389010 0.359071 0.021170 0.528973 -0.359071 0.389010 -0.528973 0.021170 -0.389010 -0.359071 -0.021170 -0.528973 0.359071 -0.389010 0.906606 -0.036284 0.666724 0.615411 0.036284 0.906606 -0.615411 0.666724 -0.906606 0.036284 -0.666724 -0.615411 -0.036284 -0.906606 0.615411 -0.666724 0.999200 -0.039989 0.734818 0.678264 0.039989 0.999200 -0.678264 0.734818 -0.999200 0.039989 -0.734818 -0.678264 -0.039989 -0.999200 0.678264 -0.734818 1.091085 -0.043667 0.802390 0.740636 0.043667 1.091085 -0.740636 0.802390 -1.091085 0.043667 -0.802390 -0.740636 -0.043667 -1.091085 0.740636 -0.802390 1.451692 -0.058099 1.067583 0.985419 0.058099 1.451692 -0.985419 1.067583 -1.451692 0.058099 -1.067583 -0.985419 -0.058099 -1.451692 0.985419 -1.067583
0.050000 0.535885 -0.026817 0.397890 0.359966 0.026817 0.535885 -0.359966 0.397890 -0.535885 0.026817 -0.397890 -0.359966 -0.026817 -0.535885 0.359966 -0.397890 0.907948 -0.045435 0.674143 0.609888 0.045435 0.907948 -0.609888 0.674143 -0.907948 0.045435 -0.674143 -0.609888 -0.045435 -0.907948 0.609888 -0.674143 0.998750 -0.049979 0.741564 0.670882 0.049979 0.998750 -0.670882 0.741564 -0.998750 0.049979 -0.741564 -0.670882 -0.049979 -0.998750 0.670882 -0.741564 1.088693 -0.054480 0.808345 0.731299 0.054480 1.088693 -0.731299 0.808345 -1.088693 0.054480 -0.808345 -0.731299 -0.054480 -1.088693 0.731299 -0.808345 1.440103 -0.072065 1.069265 0.967349 0.072065 1.440103 -0.967349 1.069265 -1.440103 0.072065 -1.069265 -0.967349 -0.072065 -1.440103 0.967349 -1.069265
0.060000 0.542660 -0.032599 0.406770 0.360668 0.032599 0.542660 -0.360668 0.406770 -0.542660 0.032599 -0.406770 -0.360668 -0.032599 -0.542660 0.360668 -0.406770 0.909165 -0.054615 0.681495 0.604258 0.054615 0.909165 -0.604258 0.681495 -0.909165 0.054615 -0.681495 -0.604258 -0.054615 -0.909165 0.604258 -0.681495 0.998201 -0.059964 0.748235 0.663433 0.059964 0.998201 -0.663433 0.748235 -0.998201 0.059964 -0.748235 -0.663433 -0.059964 -0.998201 0.663433 -0.748235 1.086235 -0.065252 0.814225 0.721944 0.065252 1.086235 -0.721944 0.814225 -1.086235 0.065252 -0.814225 -0.721944 -0.065252 -1.086235 0.721944 -0.814225 1.428693 -0.085825 1.070926 0.949551 0.085825 1.428693 -0.949551 1.070926 -1.428693 0.085825 -1.070926 -0.949551 -0.085825 -1.428693 0.949551 -1.070926
0.070000 0.549296 -0.038514 0.415644 0.361178 0.038514 0.549296 -0.361178 0.415644 -0.549296 0.038514 -0.415644 -0.361178 -0.038514 -0.549296 0.361178 -0.415644 0.910258 -0.063822 0.688779 0.598520 0.063822 0.910258 -0.598520 0.688779 -0.910258 0.063822 -0.688779 -0.598520 -0.063822 -0.910258 0.598520 -0.688779 0.997551 -0.069943 0.754832 0.655918 0.069943 0.997551 -0.655918 0.754832 -0.997551 0.069943 -0.754832 -0.655918 -0.069943 -0.997551 0.655918 -0.754832 1.083711 -0.075984 0.820028 0.712571 0.075984 1.083711 -0.712571 0.820028 -1.083711 0.075984 -0.820028 -0.712571 -0.075984 -1.083711 0.712571 -0.820028 1.417451 -0.099384 1.072565 0.932014 0.099384 1.417451 -0.932014 1.072565 -1.417451 0.099384 -1.072565 -0.932014 -0.099384 -1.417451 0.932014 -1.072565
0.080000 0.555791 -0.044558 0.424511 0.361496 0.044558 0.555791 -0.361496 0.424511 -0.555791 0.044558 -0.424511 -0.361496 -0.044558 -0.555791 0.361496 -0.424511 0.911227 -0.073054 0.695992 0.592678 0.073054 0.911227 -0.592678 0.695992 -0.911227 0.073054 -0.695992 -0.592678 -0.073054 -0.911227 0.592678 -0.695992 0.996802 -0.079915 0.761353 0.648337 0.079915 0.996802 -0.648337 0.761353 -0.996802 0.079915 -0.761353 -0.648337 -0.079915 -0.996802 0.648337 -0.761353 1.081120 -0.086675 0.825756 0.703179 0.086675 1.081120 -0.703179 0.825756 -1.081120 0.086675 -0.825756 -0.703179 -0.086675 -1.081120 0.703179 -0.825756 1.406372 -0.112750 1.074181 0.914728 0.112750 1.406372 -0.914728 1.074181 -1.406372 0.112750 -1.074181 -0.914728 -0.112750 -1.406372 0.914728 -1.074181
0.090000 0.562143 -0.050730 0.433366 0.361623 0.050730 0.562143 -0.361623 0.433366 -0.562143 0.050730 -0.433366 -0.361623 -0.050730 -0.562143 0.361623 -0.433366 0.912073 -0.082309 0.703134 0.586732 0.082309 0.912073 -0.586732 0.703134 -0.912073 0.082309 -0.703134 -0.586732 -0.082309 -0.912073 0.586732 -0.703134 0.995953 -0.089879 0.767799 0.640691 0.089879 0.995953 -0.640691 0.767799 -0.995953 0.089879 -0.767799 -0.640691 -0.089879 -0.995953 0.640691 -0.767799 1.078462 -0.097325 0.831407 0.693769 0.097325 1.078462 -0.693769 0.831407 -1.078462 0.097325 -0.831407 -0.693769 -0.097325 -1.078462 0.693769 -0.831407 1.395445 -0.125930 1.075775 0.897683 0.125930 1.395445 -0.897683 1.075775 -1.395445 0.125930 -1.075775 -0.897683 -0.125930 -1.395445 0.897683 -1.075775
