# circle in zeta-plane case 4
# xi0 = -0.1, eta0 = 0, r = 1.1
# xi   eta   xi/a   eta/a
1.000000 0.000000 1.000000 0.000000
0.999958 0.009599 0.999958 0.009599
0.999832 0.019198 0.999832 0.019198
0.999623 0.028795 0.999623 0.028795
0.999330 0.038389 0.999330 0.038389
0.998953 0.047981 0.998953 0.047981
0.998492 0.057570 0.998492 0.057570
0.997948 0.067153 0.997948 0.067153
0.997320 0.076732 0.997320 0.076732
0.996609 0.086305 0.996609 0.086305
0.995814 0.095871 0.995814 0.095871
0.994936 0.105430 0.994936 0.105430
0.993974 0.114981 0.993974 0.114981
0.992929 0.124524 0.992929 0.124524
0.991801 0.134056 0.991801 0.134056
0.990589 0.143579 0.990589 0.143579
0.989295 0.153090 0.989295 0.153090
0.987917 0.162590 0.987917 0.162590
0.986457 0.172078 0.986457 0.172078
0.984914 0.181552 0.984914 0.181552
0.983289 0.191013 0.983289 0.191013
0.981580 0.200459 0.981580 0.200459
0.979790 0.209890 0.979790 0.209890
0.977917 0.219305 0.977917 0.219305
0.975962 0.228703 0.975962 0.228703
0.973926 0.238084 0.973926 0.238084
0.971807 0.247446 0.971807 0.247446
0.969607 0.256790 0.969607 0.256790
0.967325 0.266114 0.967325 0.266114
0.964962 0.275418 0.964962 0.275418
0.962518 0.284701 0.962518 0.284701
0.959993 0.293962 0.959993 0.293962
0.957388 0.303201 0.957388 0.303201
0.954702 0.312417 0.954702 0.312417
0.951935 0.321609 0.951935 0.321609
0.949089 0.330776 0.949089 0.330776
0.946162 0.339919 0.946162 0.339919
0.943156 0.349035 0.943156 0.349035
0.940070 0.358125 0.940070 0.358125
0.936906 0.367188 0.936906 0.367188
0.933662 0.376222 0.933662 0.376222
0.930339 0.385228 0.930339 0.385228
0.926938 0.394205 0.926938 0.394205
0.923459 0.403151 0.923459 0.403151
0.919902 0.412067 0.919902 0.412067
0.916267 0.420952 0.916267 0.420952
0.912555 0.429804 0.912555 0.429804
0.908766 0.438624 0.908766 0.438624
0.904900 0.447410 0.904900 0.447410
0.900957 0.456163 0.900957 0.456163
0.896939 0.464880 0.896939 0.464880
0.892844 0.473562 0.892844 0.473562
0.888673 0.482208 0.888673 0.482208
0.884428 0.490818 0.884428 0.490818
0.880107 0.499390 0.880107 0.499390
0.875712 0.507923 0.875712 0.507923
0.871242 0.516419 0.871242 0.516419
0.866699 0.524875 0.866699 0.524875
0.862082 0.533291 0.862082 0.533291
0.857391 0.541666 0.857391 0.541666
0.852628 0.550000 0.852628 0.550000
0.847792 0.558292 0.847792 0.558292
0.842884 0.566542 0.842884 0.566542
0.837904 0.574748 0.837904 0.574748
0.832853 0.582911 0.832853 0.582911
0.827731 0.591030 0.827731 0.591030
0.822538 0.599103 0.822538 0.599103
0.817274 0.607131 0.817274 0.607131
0.811941 0.615112 0.811941 0.615112
0.806539 0.623047 0.806539 0.623047
0.801067 0.630934 0.801067 0.630934
0.795527 0.638773 0.795527 0.638773
0.789919 0.646564 0.789919 0.646564
0.784243 0.654305 0.784243 0.654305
0.778499 0.661997 0.778499 0.661997
0.772689 0.669638 0.772689 0.669638
0.766812 0.677228 0.766812 0.677228
0.760869 0.684766 0.760869 0.684766
0.754861 0.692252 0.754861 0.692252
0.748787 0.699686 0.748787 0.699686
0.742649 0.707066 0.742649 0.707066
0.736447 0.714393 0.736447 0.714393
0.730181 0.721665 0.730181 0.721665
0.723851 0.728882 0.723851 0.728882
0.717459 0.736044 0.717459 0.736044
0.711005 0.743149 0.711005 0.743149
0.704489 0.750198 0.704489 0.750198
0.697912 0.757190 0.697912 0.757190
0.691274 0.764124 0.691274 0.764124
0.684575 0.771000 0.684575 0.771000
0.677817 0.777817 0.677817 0.777817
0.671000 0.784575 0.671000 0.784575
0.664124 0.791274 0.664124 0.791274
0.657190 0.797912 0.657190 0.797912
0.650198 0.804489 0.650198 0.804489
0.643149 0.811005 0.643149 0.811005
0.636044 0.817459 0.636044 0.817459
0.628882 0.823851 0.628882 0.823851
0.621665 0.830181 0.621665 0.830181
0.614393 0.836447 0.614393 0.836447
0.607066 0.842649 0.607066 0.842649
0.599686 0.848787 0.599686 0.848787
0.592252 0.854861 0.592252 0.854861
0.584766 0.860869 0.584766 0.860869
0.577228 0.866812 0.577228 0.866812
0.569638 0.872689 0.569638 0.872689
0.561997 0.878499 0.561997 0.878499
0.554305 0.884243 0.554305 0.884243
0.546564 0.889919 0.546564 0.889919
0.538773 0.895527 0.538773 0.895527
0.530934 0.901067 0.530934 0.901067
0.523047 0.906539 0.523047 0.906539
0.515112 0.911941 0.515112 0.911941
0.507131 0.917274 0.507131 0.917274
0.499103 0.922538 0.499103 0.922538
0.491030 0.927731 0.491030 0.927731
0.482911 0.932853 0.482911 0.932853
0.474748 0.937904 0.474748 0.937904
0.466542 0.942884 0.466542 0.942884
0.458292 0.947792 0.458292 0.947792
0.450000 0.952628 0.450000 0.952628
0.441666 0.957391 0.441666 0.957391
0.433291 0.962082 0.433291 0.962082
0.424875 0.966699 0.424875 0.966699
0.416419 0.971242 0.416419 0.971242
0.407923 0.975712 0.407923 0.975712
0.399390 0.980107 0.399390 0.980107
0.390818 0.984428 0.390818 0.984428
0.382208 0.988673 0.382208 0.988673
0.373562 0.992844 0.373562 0.992844
0.364880 0.996939 0.364880 0.996939
0.356163 1.000957 0.356163 1.000957
0.347410 1.004900 0.347410 1.004900
0.338624 1.008766 0.338624 1.008766
0.329804 1.012555 0.329804 1.012555
0.320952 1.016267 0.320952 1.016267
0.312067 1.019902 0.312067 1.019902
0.303151 1.023459 0.303151 1.023459
0.294205 1.026938 0.294205 1.026938
0.285228 1.030339 0.285228 1.030339
0.276222 1.033662 0.276222 1.033662
0.267188 1.036906 0.267188 1.036906
0.258125 1.040070 0.258125 1.040070
0.249035 1.043156 0.249035 1.043156
0.239919 1.046162 0.239919 1.046162
0.230776 1.049089 0.230776 1.049089
0.221609 1.051935 0.221609 1.051935
0.212417 1.054702 0.212417 1.054702
0.203201 1.057388 0.203201 1.057388
0.193962 1.059993 0.193962 1.059993
0.184701 1.062518 0.184701 1.062518
0.175418 1.064962 0.175418 1.064962
0.166114 1.067325 0.166114 1.067325
0.156790 1.069607 0.156790 1.069607
0.147446 1.071807 0.147446 1.071807
0.138084 1.073926 0.138084 1.073926
0.128703 1.075962 0.128703 1.075962
0.119305 1.077917 0.119305 1.077917
0.109890 1.079790 0.109890 1.079790
0.100459 1.081580 0.100459 1.081580
0.091013 1.083289 0.091013 1.083289
0.081552 1.084914 0.081552 1.084914
0.072078 1.086457 0.072078 1.086457
0.062590 1.087917 0.062590 1.087917
0.053090 1.089295 0.053090 1.089295
0.043579 1.090589 0.043579 1.090589
0.034056 1.091801 0.034056 1.091801
0.024524 1.092929 0.024524 1.092929
0.014981 1.093974 0.014981 1.093974
