# circle in zeta-plane case 9
# xi0 = -0.1, eta0 = 0.3, r = 1.14018
# xi   eta   xi/a   eta/a
1.040175 0.300000 1.040175 0.300000
1.040132 0.309950 1.040132 0.309950
1.040002 0.319899 1.040002 0.319899
1.039785 0.329846 1.039785 0.329846
1.039481 0.339792 1.039481 0.339792
1.039090 0.349734 1.039090 0.349734
1.038613 0.359672 1.038613 0.359672
1.038049 0.369606 1.038049 0.369606
1.037398 0.379535 1.037398 0.379535
1.036661 0.389457 1.036661 0.389457
1.035837 0.399373 1.035837 0.399373
1.034926 0.409281 1.034926 0.409281
1.033929 0.419181 1.033929 0.419181
1.032846 0.429072 1.032846 0.429072
1.031677 0.438952 1.031677 0.438952
1.030421 0.448823 1.030421 0.448823
1.029079 0.458682 1.029079 0.458682
1.027652 0.468529 1.027652 0.468529
1.026138 0.478363 1.026138 0.478363
1.024539 0.488183 1.024539 0.488183
1.022854 0.497989 1.022854 0.497989
1.021083 0.507780 1.021083 0.507780
1.019227 0.517556 1.019227 0.517556
1.017286 0.527314 1.017286 0.527314
1.015260 0.537056 1.015260 0.537056
1.013149 0.546779 1.013149 0.546779
1.010953 0.556484 1.010953 0.556484
1.008672 0.566169 1.008672 0.566169
1.006307 0.575833 1.006307 0.575833
1.003858 0.585477 1.003858 0.585477
1.001325 0.595099 1.001325 0.595099
0.998708 0.604699 0.998708 0.604699
0.996007 0.614275 0.996007 0.614275
0.993223 0.623827 0.993223 0.623827
0.990355 0.633355 0.990355 0.633355
0.987405 0.642857 0.987405 0.642857
0.984371 0.652334 0.984371 0.652334
0.981255 0.661783 0.981255 0.661783
0.978057 0.671205 0.978057 0.671205
0.974777 0.680598 0.974777 0.680598
0.971414 0.689963 0.971414 0.689963
0.967971 0.699298 0.967971 0.699298
0.964445 0.708602 0.964445 0.708602
0.960839 0.717876 0.960839 0.717876
0.957152 0.727117 0.957152 0.727117
0.953385 0.736326 0.953385 0.736326
0.949537 0.745502 0.949537 0.745502
0.945609 0.754644 0.945609 0.754644
0.941602 0.763751 0.941602 0.763751
0.937515 0.772823 0.937515 0.772823
0.933350 0.781859 0.933350 0.781859
0.929106 0.790858 0.929106 0.790858
0.924783 0.799820 0.924783 0.799820
0.920382 0.808744 0.920382 0.808744
0.915904 0.817629 0.915904 0.817629
0.911348 0.826474 0.911348 0.826474
0.906715 0.835280 0.906715 0.835280
0.902006 0.844045 0.902006 0.844045
0.897220 0.852768 0.897220 0.852768
0.892358 0.861449 0.892358 0.861449
0.887421 0.870088 0.887421 0.870088
0.882408 0.878683 0.882408 0.878683
0.877321 0.887234 0.877321 0.887234
0.872159 0.895740 0.872159 0.895740
0.866924 0.904201 0.866924 0.904201
0.861614 0.912616 0.861614 0.912616
0.856232 0.920984 0.856232 0.920984
0.850776 0.929305 0.850776 0.929305
0.845248 0.937578 0.845248 0.937578
0.839648 0.945802 0.839648 0.945802
0.833977 0.953978 0.833977 0.953978
0.828235 0.962103 0.828235 0.962103
0.822421 0.970178 0.822421 0.970178
0.816538 0.978202 0.816538 0.978202
0.810585 0.986175 0.810585 0.986175
0.804562 0.994095 0.804562 0.994095
0.798470 1.001962 0.798470 1.001962
0.792311 1.009776 0.792311 1.009776
0.786083 1.017536 0.786083 1.017536
0.779787 1.025241 0.779787 1.025241
0.773425 1.032891 0.773425 1.032891
0.766996 1.040485 0.766996 1.040485
0.760501 1.048022 0.760501 1.048022
0.753941 1.055503 0.753941 1.055503
0.747315 1.062926 0.747315 1.062926
0.740626 1.070291 0.740626 1.070291
0.733872 1.077598 0.733872 1.077598
0.727054 1.084845 0.727054 1.084845
0.720174 1.092032 0.720174 1.092032
0.713231 1.099160 0.713231 1.099160
0.706226 1.106226 0.706226 1.106226
0.699160 1.113231 0.699160 1.113231
0.692032 1.120174 0.692032 1.120174
0.684845 1.127054 0.684845 1.127054
0.677598 1.133872 0.677598 1.133872
0.670291 1.140626 0.670291 1.140626
0.662926 1.147315 0.662926 1.147315
0.655503 1.153941 0.655503 1.153941
0.648022 1.160501 0.648022 1.160501
0.640485 1.166996 0.640485 1.166996
0.632891 1.173425 0.632891 1.173425
0.625241 1.179787 0.625241 1.179787
0.617536 1.186083 0.617536 1.186083
0.609776 1.192311 0.609776 1.192311
0.601962 1.198470 0.601962 1.198470
0.594095 1.204562 0.594095 1.204562
0.586175 1.210585 0.586175 1.210585
0.578202 1.216538 0.578202 1.216538
0.570178 1.222421 0.570178 1.222421
0.562103 1.228235 0.562103 1.228235
0.553978 1.233977 0.553978 1.233977
0.545802 1.239648 0.545802 1.239648
0.537578 1.245248 0.537578 1.245248
0.529305 1.250776 0.529305 1.250776
0.520984 1.256232 0.520984 1.256232
0.512616 1.261614 0.512616 1.261614
0.504201 1.266924 0.504201 1.266924
0.495740 1.272159 0.495740 1.272159
0.487234 1.277321 0.487234 1.277321
0.478683 1.282408 0.478683 1.282408
0.470088 1.287421 0.470088 1.287421
0.461449 1.292358 0.461449 1.292358
0.452768 1.297220 0.452768 1.297220
0.444045 1.302006 0.444045 1.302006
0.435280 1.306715 0.435280 1.306715
0.426474 1.311348 0.426474 1.311348
0.417629 1.315904 0.417629 1.315904
0.408744 1.320382 0.408744 1.320382
0.399820 1.324783 0.399820 1.324783
0.390858 1.329106 0.390858 1.329106
0.381859 1.333350 0.381859 1.333350
0.372823 1.337515 0.372823 1.337515
0.363751 1.341602 0.363751 1.341602
0.354644 1.345609 0.354644 1.345609
0.345502 1.349537 0.345502 1.349537
0.336326 1.353385 0.336326 1.353385
0.327117 1.357152 0.327117 1.357152
0.317876 1.360839 0.317876 1.360839
0.308602 1.364445 0.308602 1.364445
0.299298 1.367971 0.299298 1.367971
0.289963 1.371414 0.289963 1.371414
0.280598 1.374777 0.280598 1.374777
0.271205 1.378057 0.271205 1.378057
0.261783 1.381255 0.261783 1.381255
0.252334 1.384371 0.252334 1.384371
0.242857 1.387405 0.242857 1.387405
0.233355 1.390355 0.233355 1.390355
0.223827 1.393223 0.223827 1.393223
0.214275 1.396007 0.214275 1.396007
0.204699 1.398708 0.204699 1.398708
0.195099 1.401325 0.195099 1.401325
0.185477 1.403858 0.185477 1.403858
0.175833 1.406307 0.175833 1.406307
0.166169 1.408672 0.166169 1.408672
0.156484 1.410953 0.156484 1.410953
0.146779 1.413149 0.146779 1.413149
0.137056 1.415260 0.137056 1.415260
0.127314 1.417286 0.127314 1.417286
0.117556 1.419227 0.117556 1.419227
0.107780 1.421083 0.107780 1.421083
0.097989 1.422854 0.097989 1.422854
0.088183 1.424539 0.088183 1.424539
0.078363 1.426138 0.078363 1.426138
0.068529 1.427652 0.068529 1.427652
0.058682 1.429079 0.058682 1.429079
0.048823 1.430421 0.048823 1.430421
0.038952 1.431677 0.038952 1.431677
0.029072 1.432846 0.029072 1.432846
0.019181 1.433929 0.019181 1.433929
0.009281 1.434926 0.009281 1.434926
-0.000627 1.435837 -0.000627 1.435837
-0.010543 1.436661 -0.010543 1.436661
-0.020465 1.437398 -0.020465 1.437398
-0.030394 1.438049 -0.030394 1.438049
-0.040328 1.438613 -0.040328 1.438613
-0.050266 1.439090 -0.050266 1.439090
-0.060208 1.439481 -0.060208 1.439481
-0.070154 1.439785 -0.070154 1.439785
-0.080101 1.440002 -0.080101 1.440002
-0.090050 1.440132 -0.090050 1.440132
-0.100000 1.440175 -0.100000 1.440175
