# Joukowski airfoil case 2
# a = 1, xi0 = 0, eta0 = 0.2, r = 1.0198
# x   y   x/a   y/a
1.964067 0.014815 1.964067 0.014815
1.960890 0.016109 1.960890 0.016109
1.957585 0.017454 1.957585 0.017454
1.954152 0.018847 1.954152 0.018847
1.950593 0.020289 1.950593 0.020289
1.946907 0.021779 1.946907 0.021779
1.943096 0.023316 1.943096 0.023316
1.939161 0.024900 1.939161 0.024900
1.935101 0.026529 1.935101 0.026529
1.930919 0.028204 1.930919 0.028204
1.926614 0.029923 1.926614 0.029923
1.922187 0.031687 1.922187 0.031687
1.917639 0.033493 1.917639 0.033493
1.912972 0.035343 1.912972 0.035343
1.908184 0.037234 1.908184 0.037234
1.903278 0.039166 1.903278 0.039166
1.898254 0.041140 1.898254 0.041140
1.893112 0.043152 1.893112 0.043152
1.887854 0.045204 1.887854 0.045204
1.882480 0.047295 1.882480 0.047295
1.876991 0.049423 1.876991 0.049423
1.871387 0.051588 1.871387 0.051588
1.865670 0.053790 1.865670 0.053790
1.859839 0.056027 1.859839 0.056027
1.853896 0.058299 1.853896 0.058299
1.847842 0.060605 1.847842 0.060605
1.841677 0.062944 1.841677 0.062944
1.835401 0.065316 1.835401 0.065316
1.829016 0.067720 1.829016 0.067720
1.822522 0.070155 1.822522 0.070155
1.815920 0.072621 1.815920 0.072621
1.809210 0.075116 1.809210 0.075116
1.802394 0.077640 1.802394 0.077640
1.795472 0.080193 1.795472 0.080193
1.788444 0.082772 1.788444 0.082772
1.781312 0.085379 1.781312 0.085379
1.774076 0.088011 1.774076 0.088011
1.766737 0.090669 1.766737 0.090669
1.759295 0.093351 1.759295 0.093351
1.751751 0.096056 1.751751 0.096056
1.744107 0.098785 1.744107 0.098785
1.736361 0.101535 1.736361 0.101535
1.728516 0.104307 1.728516 0.104307
1.720572 0.107100 1.720572 0.107100
1.712530 0.109913 1.712530 0.109913
1.704390 0.112744 1.704390 0.112744
1.696152 0.115594 1.696152 0.115594
1.687819 0.118462 1.687819 0.118462
1.679390 0.121346 1.679390 0.121346
1.670866 0.124247 1.670866 0.124247
1.662247 0.127163 1.662247 0.127163
1.653535 0.130093 1.653535 0.130093
1.644730 0.133038 1.644730 0.133038
1.635833 0.135995 1.635833 0.135995
1.626845 0.138965 1.626845 0.138965
1.617765 0.141947 1.617765 0.141947
1.608595 0.144939 1.608595 0.144939
1.599336 0.147941 1.599336 0.147941
1.589988 0.150953 1.589988 0.150953
1.580552 0.153974 1.580552 0.153974
1.571029 0.157002 1.571029 0.157002
1.561419 0.160037 1.561419 0.160037
1.551722 0.163079 1.551722 0.163079
1.541941 0.166127 1.541941 0.166127
1.532074 0.169180 1.532074 0.169180
1.522124 0.172237 1.522124 0.172237
1.512090 0.175297 1.512090 0.175297
1.501974 0.178361 1.501974 0.178361
1.491776 0.181426 1.491776 0.181426
1.481496 0.184493 1.481496 0.184493
1.471136 0.187560 1.471136 0.187560
1.460696 0.190628 1.460696 0.190628
1.450177 0.193695 1.450177 0.193695
1.439579 0.196760 1.439579 0.196760
1.428903 0.199824 1.428903 0.199824
1.418150 0.202884 1.418150 0.202884
1.407321 0.205941 1.407321 0.205941
1.396416 0.208994 1.396416 0.208994
1.385436 0.212042 1.385436 0.212042
1.374381 0.215085 1.374381 0.215085
1.363253 0.218121 1.363253 0.218121
1.352051 0.221151 1.352051 0.221151
1.340778 0.224173 1.340778 0.224173
1.329432 0.227187 1.329432 0.227187
1.318016 0.230192 1.318016 0.230192
1.306529 0.233188 1.306529 0.233188
1.294973 0.236174 1.294973 0.236174
1.283348 0.239148 1.283348 0.239148
1.271655 0.242112 1.271655 0.242112
1.259894 0.245064 1.259894 0.245064
1.248067 0.248003 1.248067 0.248003
1.236173 0.250928 1.236173 0.250928
1.224214 0.253840 1.224214 0.253840
1.212190 0.256738 1.212190 0.256738
1.200102 0.259620 1.200102 0.259620
1.187951 0.262487 1.187951 0.262487
1.175737 0.265337 1.175737 0.265337
1.163462 0.268171 1.163462 0.268171
1.151125 0.270987 1.151125 0.270987
1.138728 0.273785 1.138728 0.273785
1.126271 0.276565 1.126271 0.276565
1.113754 0.279326 1.113754 0.279326
1.101180 0.282067 1.101180 0.282067
1.088547 0.284788 1.088547 0.284788
1.075858 0.287488 1.075858 0.287488
1.063113 0.290166 1.063113 0.290166
1.050312 0.292823 1.050312 0.292823
1.037456 0.295457 1.037456 0.295457
1.024546 0.298069 1.024546 0.298069
1.011582 0.300657 1.011582 0.300657
0.998566 0.303221 0.998566 0.303221
0.985498 0.305761 0.985498 0.305761
0.972378 0.308276 0.972378 0.308276
0.959208 0.310765 0.959208 0.310765
0.945989 0.313228 0.945989 0.313228
0.932720 0.315666 0.932720 0.315666
0.919402 0.318076 0.919402 0.318076
0.906037 0.320459 0.906037 0.320459
0.892625 0.322814 0.892625 0.322814
0.879167 0.325141 0.879167 0.325141
0.865663 0.327439 0.865663 0.327439
0.852115 0.329708 0.852115 0.329708
0.838522 0.331947 0.838522 0.331947
0.824886 0.334157 0.824886 0.334157
0.811207 0.336336 0.811207 0.336336
0.797487 0.338484 0.797487 0.338484
0.783725 0.340601 0.783725 0.340601
0.769923 0.342686 0.769923 0.342686
0.756081 0.344739 0.756081 0.344739
0.742201 0.346760 0.742201 0.346760
0.728282 0.348748 0.728282 0.348748
0.714325 0.350703 0.714325 0.350703
0.700332 0.352624 0.700332 0.352624
0.686303 0.354511 0.686303 0.354511
0.672238 0.356365 0.672238 0.356365
0.658139 0.358183 0.658139 0.358183
0.644006 0.359967 0.644006 0.359967
0.629840 0.361715 0.629840 0.361715
0.615642 0.363428 0.615642 0.363428
0.601412 0.365104 0.601412 0.365104
0.587151 0.366745 0.587151 0.366745
0.572860 0.368349 0.572860 0.368349
0.558540 0.369916 0.558540 0.369916
0.544191 0.371446 0.544191 0.371446
0.529814 0.372939 0.529814 0.372939
0.515410 0.374394 0.515410 0.374394
0.500980 0.375811 0.500980 0.375811
0.486524 0.377190 0.486524 0.377190
0.472043 0.378530 0.472043 0.378530
0.457537 0.379832 0.457537 0.379832
0.443009 0.381095 0.443009 0.381095
0.428458 0.382318 0.428458 0.382318
0.413885 0.383503 0.413885 0.383503
0.399290 0.384647 0.399290 0.384647
0.384676 0.385752 0.384676 0.385752
0.370041 0.386817 0.370041 0.386817
0.355388 0.387841 0.355388 0.387841
0.340717 0.388826 0.340717 0.388826
0.326028 0.389769 0.326028 0.389769
0.311323 0.390672 0.311323 0.390672
0.296601 0.391534 0.296601 0.391534
0.281865 0.392355 0.281865 0.392355
0.267114 0.393135 0.267114 0.393135
0.252349 0.393873 0.252349 0.393873
0.237572 0.394570 0.237572 0.394570
0.222783 0.395225 0.222783 0.395225
0.207982 0.395839 0.207982 0.395839
0.193170 0.396411 0.193170 0.396411
0.178349 0.396941 0.178349 0.396941
0.163518 0.397428 0.163518 0.397428
0.148680 0.397874 0.148680 0.397874
0.133833 0.398277 0.133833 0.398277
0.118980 0.398639 0.118980 0.398639
0.104121 0.398957 0.104121 0.398957
0.089256 0.399234 0.089256 0.399234
0.074387 0.399468 0.074387 0.399468
0.059514 0.399659 0.059514 0.399659
0.044638 0.399808 0.044638 0.399808
0.029760 0.399915 0.029760 0.399915
0.014880 0.399979 0.014880 0.399979
0.000000 0.400000 0.000000 0.400000
-0.014880 0.399979 -0.014880 0.399979
-0.029760 0.399915 -0.029760 0.399915
-0.044638 0.399808 -0.044638 0.399808
-0.059514 0.399659 -0.059514 0.399659
-0.074387 0.399468 -0.074387 0.399468
-0.089256 0.399234 -0.089256 0.399234
-0.104121 0.398957 -0.104121 0.398957
-0.118980 0.398639 -0.118980 0.398639
-0.133833 0.398277 -0.133833 0.398277
-0.148680 0.397874 -0.148680 0.397874
-0.163518 0.397428 -0.163518 0.397428
-0.178349 0.396941 -0.178349 0.396941
-0.193170 0.396411 -0.193170 0.396411
-0.207982 0.395839 -0.207982 0.395839
-0.222783 0.395225 -0.222783 0.395225
-0.237572 0.394570 -0.237572 0.394570
-0.252349 0.393873 -0.252349 0.393873
-0.267114 0.393135 -0.267114 0.393135
-0.281865 0.392355 -0.281865 0.392355
-0.296601 0.391534 -0.296601 0.391534
-0.311323 0.390672 -0.311323 0.390672
-0.326028 0.389769 -0.326028 0.389769
-0.340717 0.388826 -0.340717 0.388826
-0.355388 0.387841 -0.355388 0.387841
-0.370041 0.386817 -0.370041 0.386817
-0.384676 0.385752 -0.384676 0.385752
-0.399290 0.384647 -0.399290 0.384647
-0.413885 0.383503 -0.413885 0.383503
-0.428458 0.382318 -0.428458 0.382318
-0.443009 0.381095 -0.443009 0.381095
-0.457537 0.379832 -0.457537 0.379832
-0.472043 0.378530 -0.472043 0.378530
-0.486524 0.377190 -0.486524 0.377190
-0.500980 0.375811 -0.500980 0.375811
-0.515410 0.374394 -0.515410 0.374394
-0.529814 0.372939 -0.529814 0.372939
-0.544191 0.371446 -0.544191 0.371446
-0.558540 0.369916 -0.558540 0.369916
-0.572860 0.368349 -0.572860 0.368349
-0.587151 0.366745 -0.587151 0.366745
-0.601412 0.365104 -0.601412 0.365104
-0.615642 0.363428 -0.615642 0.363428
-0.629840 0.361715 -0.629840 0.361715
-0.644006 0.359967 -0.644006 0.359967
-0.658139 0.358183 -0.658139 0.358183
-0.672238 0.356365 -0.672238 0.356365
-0.686303 0.354511 -0.686303 0.354511
-0.700332 0.352624 -0.700332 0.352624
-0.714325 0.350703 -0.714325 0.350703
-0.728282 0.348748 -0.728282 0.348748
-0.742201 0.346760 -0.742201 0.346760
-0.756081 0.344739 -0.756081 0.344739
-0.769923 0.342686 -0.769923 0.342686
-0.783725 0.340601 -0.783725 0.340601
-0.797487 0.338484 -0.797487 0.338484
-0.811207 0.336336 -0.811207 0.336336
-0.824886 0.334157 -0.824886 0.334157
-0.838522 0.331947 -0.838522 0.331947
-0.852115 0.329708 -0.852115 0.329708
-0.865663 0.327439 -0.865663 0.327439
-0.879167 0.325141 -0.879167 0.325141
-0.892625 0.322814 -0.892625 0.322814
-0.906037 0.320459 -0.906037 0.320459
-0.919402 0.318076 -0.919402 0.318076
-0.932720 0.315666 -0.932720 0.315666
-0.945989 0.313228 -0.945989 0.313228
-0.959208 0.310765 -0.959208 0.310765
-0.972378 0.308276 -0.972378 0.308276
-0.985498 0.305761 -0.985498 0.305761
-0.998566 0.303221 -0.998566 0.303221
-1.011582 0.300657 -1.011582 0.300657
-1.024546 0.298069 -1.024546 0.298069
-1.037456 0.295457 -1.037456 0.295457
-1.050312 0.292823 -1.050312 0.292823
-1.063113 0.290166 -1.063113 0.290166
-1.075858 0.287488 -1.075858 0.287488
-1.088547 0.284788 -1.088547 0.284788
-1.101180 0.282067 -1.101180 0.282067
-1.113754 0.279326 -1.113754 0.279326
-1.126271 0.276565 -1.126271 0.276565
-1.138728 0.273785 -1.138728 0.273785
-1.151125 0.270987 -1.151125 0.270987
-1.163462 0.268171 -1.163462 0.268171
-1.175737 0.265337 -1.175737 0.265337
-1.187951 0.262487 -1.187951 0.262487
-1.200102 0.259620 -1.200102 0.259620
-1.212190 0.256738 -1.212190 0.256738
-1.224214 0.253840 -1.224214 0.253840
-1.236173 0.250928 -1.236173 0.250928
-1.248067 0.248003 -1.248067 0.248003
-1.259894 0.245064 -1.259894 0.245064
-1.271655 0.242112 -1.271655 0.242112
-1.283348 0.239148 -1.283348 0.239148
-1.294973 0.236174 -1.294973 0.236174
-1.306529 0.233188 -1.306529 0.233188
-1.318016 0.230192 -1.318016 0.230192
-1.329432 0.227187 -1.329432 0.227187
-1.340778 0.224173 -1.340778 0.224173
-1.352051 0.221151 -1.352051 0.221151
-1.363253 0.218121 -1.363253 0.218121
-1.374381 0.215085 -1.374381 0.215085
-1.385436 0.212042 -1.385436 0.212042
-1.396416 0.208994 -1.396416 0.208994
-1.407321 0.205941 -1.407321 0.205941
-1.418150 0.202884 -1.418150 0.202884
-1.428903 0.199824 -1.428903 0.199824
-1.439579 0.196760 -1.439579 0.196760
-1.450177 0.193695 -1.450177 0.193695
-1.460696 0.190628 -1.460696 0.190628
-1.471136 0.187560 -1.471136 0.187560
-1.481496 0.184493 -1.481496 0.184493
-1.491776 0.181426 -1.491776 0.181426
-1.501974 0.178361 -1.501974 0.178361
-1.512090 0.175297 -1.512090 0.175297
-1.522124 0.172237 -1.522124 0.172237
-1.532074 0.169180 -1.532074 0.169180
-1.541941 0.166127 -1.541941 0.166127
-1.551722 0.163079 -1.551722 0.163079
-1.561419 0.160037 -1.561419 0.160037
-1.571029 0.157002 -1.571029 0.157002
-1.580552 0.153974 -1.580552 0.153974
-1.589988 0.150953 -1.589988 0.150953
