# Joukowski airfoil case 6
# a = 1, xi0 = -0.3, eta0 = 0, r = 1.3
# x   y   x/a   y/a
2.000000 0.000000 2.000000 0.000000
1.999871 0.000000 1.999871 0.000000
1.999485 0.000003 1.999485 0.000003
1.998842 0.000009 1.998842 0.000009
1.997942 0.000022 1.997942 0.000022
1.996784 0.000042 1.996784 0.000042
1.995371 0.000073 1.995371 0.000073
1.993701 0.000115 1.993701 0.000115
1.991776 0.000172 1.991776 0.000172
1.989596 0.000245 1.989596 0.000245
1.987162 0.000335 1.987162 0.000335
1.984473 0.000446 1.984473 0.000446
1.981532 0.000578 1.981532 0.000578
1.978340 0.000734 1.978340 0.000734
1.974896 0.000916 1.974896 0.000916
1.971202 0.001125 1.971202 0.001125
1.967259 0.001363 1.967259 0.001363
1.963068 0.001632 1.963068 0.001632
1.958630 0.001934 1.958630 0.001934
1.953947 0.002271 1.953947 0.002271
1.949020 0.002644 1.949020 0.002644
1.943851 0.003054 1.943851 0.003054
1.938440 0.003505 1.938440 0.003505
1.932789 0.003996 1.932789 0.003996
1.926901 0.004530 1.926901 0.004530
1.920776 0.005108 1.920776 0.005108
1.914416 0.005732 1.914416 0.005732
1.907823 0.006402 1.907823 0.006402
1.900999 0.007122 1.900999 0.007122
1.893945 0.007891 1.893945 0.007891
1.886664 0.008711 1.886664 0.008711
1.879158 0.009584 1.879158 0.009584
1.871428 0.010510 1.871428 0.010510
1.863476 0.011490 1.863476 0.011490
1.855306 0.012527 1.855306 0.012527
1.846918 0.013621 1.846918 0.013621
1.838315 0.014772 1.838315 0.014772
1.829499 0.015982 1.829499 0.015982
1.820472 0.017253 1.820472 0.017253
1.811237 0.018583 1.811237 0.018583
1.801797 0.019975 1.801797 0.019975
1.792152 0.021430 1.792152 0.021430
1.782307 0.022947 1.782307 0.022947
1.772262 0.024528 1.772262 0.024528
1.762021 0.026173 1.762021 0.026173
1.751587 0.027882 1.751587 0.027882
1.740961 0.029657 1.740961 0.029657
1.730145 0.031498 1.730145 0.031498
1.719144 0.033404 1.719144 0.033404
1.707959 0.035377 1.707959 0.035377
1.696592 0.037416 1.696592 0.037416
1.685047 0.039522 1.685047 0.039522
1.673326 0.041695 1.673326 0.041695
1.661431 0.043936 1.661431 0.043936
1.649365 0.046243 1.649365 0.046243
1.637131 0.048618 1.637131 0.048618
1.624732 0.051060 1.624732 0.051060
1.612170 0.053569 1.612170 0.053569
1.599447 0.056146 1.599447 0.056146
1.586567 0.058789 1.586567 0.058789
1.573531 0.061499 1.573531 0.061499
1.560344 0.064275 1.560344 0.064275
1.547006 0.067117 1.547006 0.067117
1.533522 0.070025 1.533522 0.070025
1.519893 0.072998 1.519893 0.072998
1.506123 0.076036 1.506123 0.076036
1.492213 0.079138 1.492213 0.079138
1.478167 0.082304 1.478167 0.082304
1.463987 0.085533 1.463987 0.085533
1.449676 0.088825 1.449676 0.088825
1.435236 0.092179 1.435236 0.092179
1.420671 0.095595 1.420671 0.095595
1.405981 0.099070 1.405981 0.099070
1.391171 0.102606 1.391171 0.102606
1.376243 0.106200 1.376243 0.106200
1.361198 0.109853 1.361198 0.109853
1.346041 0.113563 1.346041 0.113563
1.330773 0.117329 1.330773 0.117329
1.315396 0.121151 1.315396 0.121151
1.299914 0.125027 1.299914 0.125027
1.284328 0.128956 1.284328 0.128956
1.268642 0.132938 1.268642 0.132938
1.252857 0.136972 1.252857 0.136972
1.236976 0.141055 1.236976 0.141055
1.221001 0.145188 1.221001 0.145188
1.204935 0.149369 1.204935 0.149369
1.188781 0.153596 1.188781 0.153596
1.172539 0.157869 1.172539 0.157869
1.156213 0.162187 1.156213 0.162187
1.139805 0.166548 1.139805 0.166548
1.123317 0.170951 1.123317 0.170951
1.106752 0.175395 1.106752 0.175395
1.090111 0.179878 1.090111 0.179878
1.073398 0.184400 1.073398 0.184400
1.056613 0.188958 1.056613 0.188958
