# Joukowski airfoil case 9
# a = 1, xi0 = -0.1, eta0 = 0.3, r = 1.14018
# x   y   x/a   y/a
1.927724 0.044020 1.927724 0.044020
1.923139 0.046822 1.923139 0.046822
1.918427 0.049700 1.918427 0.049700
1.913589 0.052653 1.913589 0.052653
1.908627 0.055680 1.908627 0.055680
1.903542 0.058779 1.903542 0.058779
1.898334 0.061950 1.898334 0.061950
1.893005 0.065192 1.893005 0.065192
1.887556 0.068502 1.887556 0.068502
1.881988 0.071881 1.881988 0.071881
1.876302 0.075327 1.876302 0.075327
1.870499 0.078838 1.870499 0.078838
1.864580 0.082414 1.864580 0.082414
1.858546 0.086054 1.858546 0.086054
1.852398 0.089756 1.852398 0.089756
1.846138 0.093519 1.846138 0.093519
1.839765 0.097342 1.839765 0.097342
1.833282 0.101224 1.833282 0.101224
1.826689 0.105164 1.826689 0.105164
1.819986 0.109160 1.819986 0.109160
1.813176 0.113211 1.813176 0.113211
1.806259 0.117316 1.806259 0.117316
1.799235 0.121474 1.799235 0.121474
1.792106 0.125683 1.792106 0.125683
1.784873 0.129943 1.784873 0.129943
1.777537 0.134252 1.777537 0.134252
1.770098 0.138609 1.770098 0.138609
1.762557 0.143013 1.762557 0.143013
1.754915 0.147462 1.754915 0.147462
1.747173 0.151956 1.747173 0.151956
1.739333 0.156492 1.739333 0.156492
1.731394 0.161071 1.731394 0.161071
1.723357 0.165691 1.723357 0.165691
1.715224 0.170350 1.715224 0.170350
1.706995 0.175047 1.706995 0.175047
1.698672 0.179782 1.698672 0.179782
1.690254 0.184552 1.690254 0.184552
1.681742 0.189357 1.681742 0.189357
1.673138 0.194196 1.673138 0.194196
1.664443 0.199067 1.664443 0.199067
1.655656 0.203969 1.655656 0.203969
1.646779 0.208901 1.646779 0.208901
1.637813 0.213862 1.637813 0.213862
1.628758 0.218851 1.628758 0.218851
1.619615 0.223866 1.619615 0.223866
1.610385 0.228907 1.610385 0.228907
1.601068 0.233971 1.601068 0.233971
1.591665 0.239059 1.591665 0.239059
1.582178 0.244168 1.582178 0.244168
1.572607 0.249298 1.572607 0.249298
1.562951 0.254447 1.562951 0.254447
1.553213 0.259615 1.553213 0.259615
1.543393 0.264800 1.543393 0.264800
1.533492 0.270001 1.533492 0.270001
1.523510 0.275218 1.523510 0.275218
1.513448 0.280448 1.513448 0.280448
1.503307 0.285690 1.503307 0.285690
1.493087 0.290945 1.493087 0.290945
1.482790 0.296210 1.482790 0.296210
1.472415 0.301484 1.472415 0.301484
1.461964 0.306767 1.461964 0.306767
1.451437 0.312057 1.451437 0.312057
1.440835 0.317353 1.440835 0.317353
1.430158 0.322654 1.430158 0.322654
1.419408 0.327960 1.419408 0.327960
1.408585 0.333268 1.408585 0.333268
1.397690 0.338578 1.397690 0.338578
1.386722 0.343889 1.386722 0.343889
1.375684 0.349200 1.375684 0.349200
1.364576 0.354510 1.364576 0.354510
1.353398 0.359818 1.353398 0.359818
1.342150 0.365122 1.342150 0.365122
1.330835 0.370423 1.330835 0.370423
1.319452 0.375718 1.319452 0.375718
1.308001 0.381007 1.308001 0.381007
1.296485 0.386288 1.296485 0.386288
1.284903 0.391562 1.284903 0.391562
1.273256 0.396826 1.273256 0.396826
1.261544 0.402080 1.261544 0.402080
1.249769 0.407323 1.249769 0.407323
1.237931 0.412554 1.237931 0.412554
1.226030 0.417772 1.226030 0.417772
1.214068 0.422977 1.214068 0.422977
1.202045 0.428166 1.202045 0.428166
1.189961 0.433340 1.189961 0.433340
1.177818 0.438497 1.177818 0.438497
1.165615 0.443636 1.165615 0.443636
1.153355 0.448757 1.153355 0.448757
1.141036 0.453859 1.141036 0.453859
