# x rho u p
0.0005000000 1.0000000000 0.0000000000 1.0000000000
0.0015000000 1.0000000000 0.0000000000 1.0000000000
0.0025000000 1.0000000000 0.0000000000 1.0000000000
0.0035000000 1.0000000000 0.0000000000 1.0000000000
0.0045000000 1.0000000000 0.0000000000 1.0000000000
0.0055000000 1.0000000000 0.0000000000 1.0000000000
0.0065000000 1.0000000000 0.0000000000 1.0000000000
0.0075000000 1.0000000000 0.0000000000 1.0000000000
0.0085000000 1.0000000000 0.0000000000 1.0000000000
0.0095000000 1.0000000000 0.0000000000 1.0000000000
0.0105000000 1.0000000000 0.0000000000 1.0000000000
0.0115000000 1.0000000000 0.0000000000 1.0000000000
0.0125000000 1.0000000000 0.0000000000 1.0000000000
0.0135000000 1.0000000000 0.0000000000 1.0000000000
0.0145000000 1.0000000000 0.0000000000 1.0000000000
0.0155000000 1.0000000000 0.0000000000 1.0000000000
0.0165000000 1.0000000000 0.0000000000 1.0000000000
0.0175000000 1.0000000000 0.0000000000 1.0000000000
0.0185000000 1.0000000000 0.0000000000 1.0000000000
0.0195000000 1.0000000000 0.0000000000 1.0000000000
0.0205000000 1.0000000000 0.0000000000 1.0000000000
0.0215000000 1.0000000000 0.0000000000 1.0000000000
0.0225000000 1.0000000000 0.0000000000 1.0000000000
0.0235000000 1.0000000000 0.0000000000 1.0000000000
0.0245000000 1.0000000000 0.0000000000 1.0000000000
0.0255000000 1.0000000000 0.0000000000 1.0000000000
0.0265000000 1.0000000000 0.0000000000 1.0000000000
0.0275000000 1.0000000000 0.0000000000 1.0000000000
0.0285000000 1.0000000000 0.0000000000 1.0000000000
0.0295000000 1.0000000000 0.0000000000 1.0000000000
0.0305000000 1.0000000000 0.0000000000 1.0000000000
0.0315000000 1.0000000000 0.0000000000 1.0000000000
0.0325000000 1.0000000000 0.0000000000 1.0000000000
0.0335000000 1.0000000000 0.0000000000 1.0000000000
0.0345000000 1.0000000000 0.0000000000 1.0000000000
0.0355000000 1.0000000000 0.0000000000 1.0000000000
0.0365000000 1.0000000000 0.0000000000 1.0000000000
0.0375000000 1.0000000000 0.0000000000 1.0000000000
0.0385000000 1.0000000000 0.0000000000 1.0000000000
0.0395000000 1.0000000000 0.0000000000 1.0000000000
0.0405000000 1.0000000000 0.0000000000 1.0000000000
0.0415000000 1.0000000000 0.0000000000 1.0000000000
0.0425000000 1.0000000000 0.0000000000 1.0000000000
0.0435000000 1.0000000000 0.0000000000 1.0000000000
0.0445000000 1.0000000000 0.0000000000 1.0000000000
0.0455000000 1.0000000000 0.0000000000 1.0000000000
0.0465000000 1.0000000000 0.0000000000 1.0000000000
0.0475000000 1.0000000000 0.0000000000 1.0000000000
0.0485000000 1.0000000000 0.0000000000 1.0000000000
0.0495000000 1.0000000000 0.0000000000 1.0000000000
0.0505000000 1.0000000000 0.0000000000 1.0000000000
0.0515000000 1.0000000000 0.0000000000 1.0000000000
0.0525000000 1.0000000000 0.0000000000 1.0000000000
0.0535000000 1.0000000000 0.0000000000 1.0000000000
0.0545000000 1.0000000000 0.0000000000 1.0000000000
0.0555000000 1.0000000000 0.0000000000 1.0000000000
0.0565000000 1.0000000000 0.0000000000 1.0000000000
0.0575000000 1.0000000000 0.0000000000 1.0000000000
0.0585000000 1.0000000000 0.0000000000 1.0000000000
0.0595000000 1.0000000000 0.0000000000 1.0000000000
0.0605000000 1.0000000000 0.0000000000 1.0000000000
0.0615000000 1.0000000000 0.0000000000 1.0000000000
0.0625000000 1.0000000000 0.0000000000 1.0000000000
0.0635000000 1.0000000000 0.0000000000 1.0000000000
0.0645000000 1.0000000000 0.0000000000 1.0000000000
0.0655000000 1.0000000000 0.0000000000 1.0000000000
0.0665000000 1.0000000000 0.0000000000 1.0000000000
0.0675000000 1.0000000000 0.0000000000 1.0000000000
0.0685000000 1.0000000000 0.0000000000 1.0000000000
0.0695000000 1.0000000000 0.0000000000 1.0000000000
0.0705000000 1.0000000000 0.0000000000 1.0000000000
0.0715000000 1.0000000000 0.0000000000 1.0000000000
0.0725000000 1.0000000000 0.0000000000 1.0000000000
0.0735000000 1.0000000000 0.0000000000 1.0000000000
0.0745000000 1.0000000000 0.0000000000 1.0000000000
0.0755000000 1.0000000000 0.0000000000 1.0000000000
0.0765000000 1.0000000000 0.0000000000 1.0000000000
0.0775000000 1.0000000000 0.0000000000 1.0000000000
0.0785000000 1.0000000000 0.0000000000 1.0000000000
0.0795000000 1.0000000000 0.0000000000 1.0000000000
0.0805000000 1.0000000000 0.0000000000 1.0000000000
0.0815000000 1.0000000000 0.0000000000 1.0000000000
0.0825000000 1.0000000000 0.0000000000 1.0000000000
0.0835000000 1.0000000000 0.0000000000 1.0000000000
0.0845000000 1.0000000000 0.0000000000 1.0000000000
0.0855000000 1.0000000000 0.0000000000 1.0000000000
0.0865000000 1.0000000000 0.0000000000 1.0000000000
0.0875000000 1.0000000000 0.0000000000 1.0000000000
0.0885000000 1.0000000000 0.0000000000 1.0000000000
0.0895000000 1.0000000000 0.0000000000 1.0000000000
0.0905000000 1.0000000000 0.0000000000 1.0000000000
0.0915000000 1.0000000000 0.0000000000 1.0000000000
0.0925000000 1.0000000000 0.0000000000 1.0000000000
0.0935000000 1.0000000000 0.0000000000 1.0000000000
0.0945000000 1.0000000000 0.0000000000 1.0000000000
0.0955000000 1.0000000000 0.0000000000 1.0000000000
0.0965000000 1.0000000000 0.0000000000 1.0000000000
0.0975000000 1.0000000000 0.0000000000 1.0000000000
0.0985000000 1.0000000000 0.0000000000 1.0000000000
0.0995000000 1.0000000000 0.0000000000 1.0000000000
0.1005000000 1.0000000000 0.0000000000 1.0000000000
0.1015000000 1.0000000000 0.0000000000 1.0000000000
0.1025000000 1.0000000000 0.0000000000 1.0000000000
0.1035000000 1.0000000000 0.0000000000 1.0000000000
0.1045000000 1.0000000000 0.0000000000 1.0000000000
0.1055000000 1.0000000000 0.0000000000 1.0000000000
0.1065000000 1.0000000000 0.0000000000 1.0000000000
0.1075000000 1.0000000000 0.0000000000 1.0000000000
0.1085000000 1.0000000000 0.0000000000 1.0000000000
0.1095000000 1.0000000000 0.0000000000 1.0000000000
0.1105000000 1.0000000000 0.0000000000 1.0000000000
0.1115000000 1.0000000000 0.0000000000 1.0000000000
0.1125000000 1.0000000000 0.0000000000 1.0000000000
0.1135000000 1.0000000000 0.0000000000 1.0000000000
0.1145000000 1.0000000000 0.0000000000 1.0000000000
0.1155000000 1.0000000000 0.0000000000 1.0000000000
0.1165000000 1.0000000000 0.0000000000 1.0000000000
0.1175000000 1.0000000000 0.0000000000 1.0000000000
0.1185000000 1.0000000000 0.0000000000 1.0000000000
0.1195000000 1.0000000000 0.0000000000 1.0000000000
0.1205000000 1.0000000000 0.0000000000 1.0000000000
0.1215000000 1.0000000000 0.0000000000 1.0000000000
0.1225000000 1.0000000000 0.0000000000 1.0000000000
